,Date,Close Price,Fee,Purchased Price,Capital Gain,SO,SO_14
0,2019-01-30,37500.0,135,37635.0,0.0,BUY,13.88888888888889
1,2019-03-04,36800.0,169,37635.0,-1004.0,SELL,90.0
2,2019-03-18,34900.0,125,35025.0,0.0,BUY,16.666666666666668
3,2019-04-10,35300.0,162,35025.0,113.0,SELL,84.21052631578948
4,2019-05-09,33700.0,121,33821.0,0.0,BUY,11.904761904761905
5,2019-05-31,33000.0,151,33821.0,-972.0,SELL,100.0
6,2019-06-21,32000.0,115,32115.0,0.0,BUY,0.0
7,2019-07-31,31000.0,142,32115.0,-1257.0,SELL,96.55172413793103
8,2019-08-02,27900.0,100,28000.0,0.0,BUY,3.0303030303030303
9,2019-09-05,25500.0,117,28000.0,-2617.0,SELL,89.65517241379311
10,2019-09-23,23800.0,85,23885.0,0.0,BUY,9.75609756097561
11,2019-10-18,24800.0,114,23885.0,801.0,SELL,91.42857142857143
12,2019-11-28,23300.0,83,23383.0,0.0,BUY,13.043478260869565
13,2019-12-09,28000.0,128,23383.0,4489.0,SELL,98.18181818181819
