,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,SO,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-01-18,40441.27197265625,145,40586.27197265625,0.0, , ,BUY,,,,,0.0
1,2019-02-06,41185.589599609375,189,40586.27197265625,410.317626953125, , ,SELL,407.7621383666992,429.4639662557103,386.0603104776881,-1.7137670664070221,88.88887370343771
2,2019-02-08,40937.481689453125,147,41084.481689453125,0.0,BUY, , ,406.3975540161133,425.65415526157136,387.14095277065525,22.58063460179325,83.33327638789139
3,2019-02-11,40937.481689453125,188,41084.481689453125,-335.0,SELL,SELL,SELL,405.77728881835935,423.76967393641536,387.78490370030335,46.060541137156676,83.33327638789139
4,2019-02-13,40193.1640625,144,40337.1640625,0.0,BUY,BUY,BUY,404.6608123779297,420.88474133370545,388.4368834221539,-26.26904059150791,14.285638978309459
5,2019-02-18,41185.589599609375,189,40337.1640625,659.425537109375, ,SELL, ,404.41270751953124,421.16674996149027,387.6586650775722,43.5871104698531,74.99996156182013
6,2019-03-18,50117.40417480469,180,50297.40417480469,0.0,BUY, , ,497.08029022216795,537.9470496235574,456.21353082077854,32.567056660842745,42.85711775465988
7,2019-03-19,50613.616943359375,232,50297.40417480469,84.2127685546875,SELL,SELL, ,501.0499862670898,526.2287837999428,475.87118873423685,80.12096168532456,52.38094122429328
8,2019-03-20,50365.509033203125,181,50546.509033203125,0.0,BUY, , ,503.40699310302733,518.1186689778029,488.6953172282517,18.12106214571527,47.619000203246436
9,2019-03-21,50613.616943359375,232,50546.509033203125,-164.89208984375, ,SELL, ,504.15131225585935,517.7949008106322,490.5077237010865,17.10914968030594,52.38094122429328
10,2019-03-22,49869.29626464844,179,50048.29626464844,0.0,BUY,BUY, ,504.5234710693359,517.1037072361553,491.9432349025165,-50.84768362572387,47.05876394356659
11,2019-04-10,50365.509033203125,231,50048.29626464844,86.2127685546875, ,SELL,SELL,500.0575576782227,507.15790756806257,492.9572077883828,74.07396750951042,87.49990390455031
12,2019-04-11,50613.616943359375,182,50795.616943359375,0.0,BUY, , ,500.3056640625,507.8759572064506,492.7353709185494,176.24519146778422,57.14286969410231
13,2019-04-12,50861.72180175781,233,50795.616943359375,-166.8951416015625, ,SELL, ,500.4297164916992,508.44627495014936,492.41315803324903,115.2759573478388,58.33334187514671
14,2019-04-15,50117.40417480469,180,50297.40417480469,0.0,BUY, , ,500.4297164916992,508.44627495014936,492.41315803324903,18.541006121727033,33.333367500586824
15,2019-04-16,50117.40417480469,230,50297.40417480469,-410.0, ,SELL, ,500.1816101074219,507.77220068970917,492.5910195251346,30.683307363338404,33.333367500586824
16,2019-04-18,50365.509033203125,181,50546.509033203125,0.0,BUY, , ,499.93350372314455,507.03818295831866,492.82882448797045,56.46364472223526,41.66665812485329
17,2019-04-19,50365.509033203125,231,50546.509033203125,-412.0,SELL,SELL, ,500.1816101074219,507.44056959676675,492.922650618077,86.47127753131277,41.66665812485329
18,2019-04-22,49373.08654785156,177,49550.08654785156,0.0,BUY,BUY, ,500.0575576782227,507.6602980238381,492.45481733260726,-118.08452375987524,21.428565152948845
19,2019-04-30,50613.616943359375,232,49550.08654785156,831.5303955078125, ,SELL, ,498.81702880859376,511.01970858650463,486.6143490306829,66.5995214673706,64.70589086520478
20,2019-05-02,49621.19140625,178,49799.19140625,0.0,BUY,BUY, ,499.43729400634766,511.8028360694242,487.0717519432711,-24.422448031994538,63.636302643540766
21,2019-05-30,47636.34338378906,219,49799.19140625,-2381.8480224609375,SELL,SELL, ,473.88237915039065,495.7945009297284,451.9702573710529,26.008928012297428,70.58821826959046
22,2019-05-31,47636.34338378906,171,47807.34338378906,0.0,BUY, , ,473.2621139526367,494.131051562293,452.3931763429804,75.11316760426638,54.54543421451359
23,2019-06-03,47636.34338378906,219,47807.34338378906,-390.0,SELL,SELL, ,472.6418487548828,492.3346444353994,452.9490530743662,31.279577127308087,54.54543421451359
24,2019-06-25,49621.19140625,178,49799.19140625,0.0,BUY, , ,488.14846954345705,510.221541550808,466.0753975361061,31.914912564466487,44.444436851718855
25,2019-06-26,49621.19140625,228,49799.19140625,-406.0,SELL,SELL, ,489.1408935546875,510.78592301540846,467.4958640939666,57.17931879558482,44.444436851718855
26,2019-07-03,49124.97863769531,176,49300.97863769531,0.0,BUY,BUY, ,494.22706604003906,510.8779197174682,477.5762123626099,-2.143678678144957,21.428565152948845
27,2019-07-09,49621.19140625,228,49300.97863769531,92.2127685546875, ,SELL, ,495.21949157714846,507.71379141547385,482.72519173882307,14.184463053830637,49.99992312364025
28,2019-07-11,49621.19140625,178,49799.19140625,0.0,BUY, , ,494.227067565918,503.32278187399476,485.1313532578412,12.658181072713404,49.99992312364025
29,2019-07-23,49869.29626464844,229,49799.19140625,-158.8951416015625, ,SELL, ,493.60680084228517,501.9801419129508,485.23345977161955,40.32917636258601,71.42849612103427
30,2019-07-26,49621.19140625,178,49799.19140625,0.0,BUY, , ,494.3511199951172,505.97508895188605,482.7271510383483,58.112902938617104,28.571390917693076
31,2019-07-29,50117.40417480469,230,49799.19140625,88.2127685546875, ,SELL, ,494.5992263793945,506.57788943222846,482.62056332656056,31.99482733663614,42.85713030589769
32,2019-07-30,49869.29626464844,179,50048.29626464844,0.0,BUY, , ,494.84733123779296,506.9486976748672,482.7459648007187,31.994678978295873,35.7142166824373
33,2019-07-31,50117.40417480469,230,50048.29626464844,-160.89208984375, ,SELL, ,495.34354400634766,507.6266685505588,483.0604194621365,64.17451083807003,42.85713030589769
34,2019-09-10,59793.536376953125,215,60008.536376953125,0.0,BUY, , ,595.2061920166016,636.2120338815262,554.200350151677,38.41271544520414,26.923091479545686
35,2019-09-11,60041.644287109375,276,60008.536376953125,-242.89208984375, ,SELL, ,597.0669891357422,635.383895171185,558.7500831002994,6.084358784598489,30.769274438637062
36,2019-09-12,59049.21875,212,59261.21875,0.0,BUY,BUY,BUY,598.5556243896484,633.2505592202431,563.8606895590538,-19.84124067124678,15.384637219318531
37,2019-09-30,61034.063720703125,280,59261.21875,1492.844970703125, ,SELL,SELL,591.6086608886719,629.479571346276,553.7377504310679,35.180690711681684,90.0
38,2019-10-03,59545.428466796875,214,59759.428466796875,0.0,BUY, , ,588.8794952392578,620.8947705942627,556.864219884253,13.87461813073873,70.0
39,2019-10-04,59545.428466796875,273,59759.428466796875,-487.0, ,SELL, ,588.3832824707031,619.659388733396,557.1071762080102,29.66206723554258,70.0
40,2019-10-07,59545.428466796875,214,59759.428466796875,0.0,BUY, , ,587.63896484375,617.4643486140797,557.8135810734204,31.74600735987929,70.0
41,2019-10-11,59545.428466796875,273,59759.428466796875,-487.0, ,SELL, ,584.909799194336,614.2608380851581,555.5587603035138,29.798368141703293,70.0
42,2019-10-15,58801.11083984375,211,59012.11083984375,0.0,BUY, , ,586.3984344482421,614.6988177184892,558.0980511779951,27.210871934444132,33.333333333333336
43,2019-10-16,59297.32666015625,272,59012.11083984375,13.2158203125, ,SELL, ,586.6465423583984,615.0857934599568,558.20729125684,19.87775245210128,44.44453555721381
44,2019-10-17,56816.265869140625,204,57020.265869140625,0.0,BUY,BUY,BUY,586.1503295898438,615.5013677067651,556.7992914729224,-66.49098027564455,4.761943810234489
45,2019-10-25,60785.9619140625,279,57020.265869140625,3486.696044921875,SELL,SELL,SELL,585.406005859375,617.8111508869184,553.0008608318316,115.19605422462563,86.20694920430253
