,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,MFII_14
0,2019-01-22,40193.1640625,144,40337.1640625,0.0,BUY, ,19.279169817620883
1,2019-02-07,40937.481689453125,188,40337.1640625,412.317626953125, ,SELL,56.315033520052374
2,2019-02-08,40937.481689453125,147,41084.481689453125,0.0, ,BUY,55.155426583750156
3,2019-02-11,40937.481689453125,188,41084.481689453125,-335.0, ,SELL,65.49616266131446
4,2019-02-13,40193.1640625,144,40337.1640625,0.0, ,BUY,64.93197863489405
5,2019-02-19,42674.224853515625,196,40337.1640625,2141.060791015625, ,SELL,61.44863594982171
6,2019-03-18,50117.40417480469,180,50297.40417480469,0.0, ,BUY,55.81144406106947
7,2019-03-19,50613.616943359375,232,50297.40417480469,84.2127685546875, ,SELL,57.44165937935956
8,2019-03-20,50365.509033203125,181,50546.509033203125,0.0, ,BUY,55.15811147297569
9,2019-04-17,50117.40417480469,230,50546.509033203125,-659.1048583984375, ,SELL,36.064323607213424
10,2019-04-18,50365.509033203125,181,50546.509033203125,0.0, ,BUY,39.57175181154995
11,2019-04-19,50365.509033203125,231,50546.509033203125,-412.0, ,SELL,40.45385064721071
12,2019-04-22,49373.08654785156,177,49550.08654785156,0.0, ,BUY,38.53957496915482
13,2019-05-01,50613.616943359375,232,49550.08654785156,831.5303955078125, ,SELL,66.94549635717777
14,2019-05-02,49621.19140625,178,49799.19140625,0.0, ,BUY,65.42152404440307
15,2019-05-30,47636.34338378906,219,49799.19140625,-2381.8480224609375, ,SELL,42.73162758661253
16,2019-05-31,47636.34338378906,171,47807.34338378906,0.0, ,BUY,54.849371403348336
17,2019-06-03,47636.34338378906,219,47807.34338378906,-390.0, ,SELL,65.77558107376505
18,2019-06-25,49621.19140625,178,49799.19140625,0.0, ,BUY,73.0025539991791
19,2019-06-26,49621.19140625,228,49799.19140625,-406.0, ,SELL,73.84368667420452
20,2019-07-03,49124.97863769531,176,49300.97863769531,0.0, ,BUY,45.21834888960494
21,2019-07-10,49621.19140625,228,49300.97863769531,92.2127685546875, ,SELL,63.25299657024379
22,2019-07-11,49621.19140625,178,49799.19140625,0.0, ,BUY,56.84174033743186
23,2019-07-24,51109.82666015625,235,49799.19140625,1075.63525390625, ,SELL,69.60620365146674
24,2019-07-26,49621.19140625,178,49799.19140625,0.0, ,BUY,67.94361912039334
25,2019-08-01,51606.036376953125,237,49799.19140625,1569.844970703125, ,SELL,74.1526340001471
26,2019-09-10,59793.536376953125,215,60008.536376953125,0.0, ,BUY,68.93137572170264
27,2019-10-01,60537.85400390625,278,60008.536376953125,251.317626953125, ,SELL,46.25189662431672
28,2019-10-03,59545.428466796875,214,59759.428466796875,0.0, ,BUY,49.715629813500804
29,2019-10-14,58801.11083984375,270,59759.428466796875,-1228.317626953125, ,SELL,72.06126542875145
30,2019-10-15,58801.11083984375,211,59012.11083984375,0.0, ,BUY,65.97631405162623
31,2019-10-25,60785.9619140625,279,59012.11083984375,1494.85107421875, ,SELL,67.22032955234349
32,2019-11-07,61282.171630859375,220,61502.171630859375,0.0, ,BUY,78.50460681891926
33,2019-11-08,59545.428466796875,273,61502.171630859375,-2229.7431640625, ,SELL,79.99679260805792
34,2019-11-11,58553.009033203125,210,58763.009033203125,0.0, ,BUY,73.04077519537898
35,2019-11-22,63267.0166015625,291,58763.009033203125,4213.007568359375, ,SELL,54.088235039517656
36,2019-11-26,62274.59716796875,224,62498.59716796875,0.0, ,BUY,52.90289352303642
37,2019-11-27,62026.4892578125,285,62498.59716796875,-757.10791015625, ,SELL,50.69378130679696
38,2019-12-06,62770.806884765625,225,62995.806884765625,0.0, ,BUY,57.18526332434948
39,2019-12-16,63267.0166015625,291,62995.806884765625,-19.790283203125, ,SELL,55.394238604634324
40,2019-12-20,63018.914794921875,226,63244.914794921875,0.0, ,BUY,42.12596739886615
41,2019-12-26,63515.12451171875,292,63244.914794921875,-21.790283203125, ,SELL,47.33727474908675
42,2019-12-27,63515.12451171875,228,63743.12451171875,0.0, ,BUY,48.64252698509545
