,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,MFII_14
0,2019-01-22,40193.1640625,144,40337.1640625,0.0,BUY, ,19.279169817620883
1,2019-02-07,40937.481689453125,188,40337.1640625,412.317626953125, ,SELL,56.315033520052374
2,2019-02-13,40193.1640625,144,40337.1640625,0.0, ,BUY,64.93197863489405
3,2019-02-18,41185.589599609375,189,40337.1640625,659.425537109375, ,SELL,62.025120483048404
4,2019-03-22,49869.29626464844,179,50048.29626464844,0.0, ,BUY,56.78349132329315
5,2019-04-10,50365.509033203125,231,50048.29626464844,86.2127685546875, ,SELL,47.7294967344312
6,2019-04-22,49373.08654785156,177,49550.08654785156,0.0, ,BUY,38.53957496915482
7,2019-04-30,50613.616943359375,232,49550.08654785156,831.5303955078125, ,SELL,69.27144402543448
8,2019-05-02,49621.19140625,178,49799.19140625,0.0, ,BUY,65.42152404440307
9,2019-05-30,47636.34338378906,219,49799.19140625,-2381.8480224609375, ,SELL,42.73162758661253
10,2019-07-03,49124.97863769531,176,49300.97863769531,0.0, ,BUY,45.21834888960494
11,2019-07-09,49621.19140625,228,49300.97863769531,92.2127685546875, ,SELL,56.634894064291586
12,2019-07-12,49124.97863769531,176,49300.97863769531,0.0, ,BUY,51.555535792095846
13,2019-07-23,49869.29626464844,229,49300.97863769531,339.317626953125, ,SELL,60.203674931636996
14,2019-09-12,59049.21875,212,59261.21875,0.0, ,BUY,51.394766194000084
15,2019-09-30,61034.063720703125,280,59261.21875,1492.844970703125, ,SELL,38.929310934649685
16,2019-10-08,58056.793212890625,209,58265.793212890625,0.0, ,BUY,56.61690089986022
17,2019-10-11,59545.428466796875,273,58265.793212890625,1006.63525390625, ,SELL,65.06034819871739
18,2019-10-17,56816.265869140625,204,57020.265869140625,0.0, ,BUY,56.37688412918492
19,2019-10-25,60785.9619140625,279,57020.265869140625,3486.696044921875, ,SELL,67.22032955234349
20,2019-11-11,58553.009033203125,210,58763.009033203125,0.0, ,BUY,73.04077519537898
21,2019-11-13,59793.536376953125,275,58763.009033203125,755.52734375, ,SELL,65.48278370066741
22,2019-11-20,60289.74609375,217,60506.74609375,0.0, ,BUY,48.586163212525406
23,2019-11-21,62026.4892578125,285,60506.74609375,1234.7431640625, ,SELL,49.66140011257793
