,Date,Close Price,Fee,Purchased Price,Capital Gain,CCI,SO,CCI_20,SO_14
0,2019-02-12,92400.0,332,92732.0,0.0,BUY,BUY,-81.08108108108111,2.9411764705882355
1,2019-03-22,83200.0,382,92732.0,-9914.0,SELL,SELL,83.65987460815028,89.0625
2,2019-04-11,77400.0,278,77678.0,0.0,BUY,BUY,-4.115913009622009,12.5
3,2019-04-30,79000.0,363,77678.0,959.0,SELL,SELL,61.935330480266366,80.95238095238095
4,2019-05-03,73000.0,262,73262.0,0.0,BUY,BUY,-99.92889923081886,11.764705882352942
5,2019-05-29,72600.0,333,73262.0,-995.0,SELL,SELL,39.05160390516039,81.94444444444444
6,2019-07-31,84000.0,302,84302.0,0.0,BUY,BUY,-2.6948590381430026,18.181818181818183
7,2019-08-19,89200.0,410,84302.0,4488.0,SELL,SELL,100.94776283888021,100.0
8,2019-09-20,116500.0,419,116919.0,0.0,BUY,BUY,-11.011011011010718,9.090909090909092
9,2019-09-30,122500.0,563,116919.0,5018.0,SELL,SELL,44.21768707483008,83.33333333333333
10,2019-10-31,126500.0,455,126955.0,0.0,BUY,BUY,-66.27680311890833,13.043478260869565
11,2019-12-02,115000.0,529,126955.0,-12484.0,SELL,SELL,73.01262367792576,94.11764705882354
