,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,MFII_14
0,2019-02-04,92200.0,331,92531.0,0.0, ,BUY,60.11803064541692
1,2019-03-22,83200.0,382,92531.0,-9713.0, ,SELL,66.48508226289277
2,2019-03-29,77800.0,280,78080.0,0.0, ,BUY,65.67510388485118
3,2019-04-03,77800.0,357,78080.0,-637.0, ,SELL,71.05416118698572
4,2019-04-10,79400.0,285,79685.0,0.0, ,BUY,55.72376835099221
5,2019-04-30,79000.0,363,79685.0,-1048.0, ,SELL,39.8238062867867
6,2019-05-02,74000.0,266,74266.0,0.0, ,BUY,34.94530585916986
7,2019-05-28,67000.0,308,74266.0,-7574.0,SELL, ,83.21731653962232
8,2019-05-29,72600.0,261,72861.0,0.0, ,BUY,85.33360414946179
9,2019-05-30,72600.0,333,72861.0,-594.0,SELL, ,87.2060842276926
10,2019-06-25,75600.0,272,75872.0,0.0, ,BUY,68.32279352607563
11,2019-07-01,77000.0,354,75872.0,774.0, ,SELL,53.22499443868042
12,2019-07-30,84600.0,304,84904.0,0.0, ,BUY,57.988826737987665
13,2019-08-13,87000.0,400,84904.0,1696.0, ,SELL,35.642696297165344
14,2019-08-15,87400.0,314,87714.0,0.0, ,BUY,36.589005523963976
15,2019-08-16,87400.0,402,87714.0,-716.0, ,SELL,41.55988845025877
16,2019-09-18,118500.0,426,118926.0,0.0, ,BUY,56.49131173042784
17,2019-09-27,123000.0,565,118926.0,3509.0, ,SELL,54.45819938530926
18,2019-10-18,128000.0,460,128460.0,0.0, ,BUY,80.10420415900168
19,2019-10-21,132000.0,607,128460.0,2933.0, ,SELL,79.45231972684701
20,2019-10-22,127500.0,459,127959.0,0.0, ,BUY,69.024625706008
21,2019-12-03,115000.0,529,127959.0,-13488.0, ,SELL,58.79530969464477
22,2019-12-06,109500.0,394,109894.0,0.0, ,BUY,52.43063747219685
23,2019-12-09,111000.0,510,109894.0,596.0, ,SELL,60.23552182508889
24,2019-12-10,108000.0,388,108388.0,0.0, ,BUY,59.97514081597649
25,2019-12-13,114500.0,526,108388.0,5586.0, ,SELL,73.16243650477912
26,2019-12-17,114000.0,410,114410.0,0.0, ,BUY,64.29866113902304
27,2019-12-18,114000.0,524,114410.0,-934.0, ,SELL,64.65000461817004
