,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,MFII_14
0,2019-02-26,361000.0,1299,362299.0,0.0,BUY,5.080140196117043
1,2019-04-02,370000.0,1702,362299.0,5999.0,SELL,86.11111111111111
2,2019-04-22,370000.0,1332,371332.0,0.0,BUY,0.0
3,2019-04-30,400000.0,1840,371332.0,26828.0,SELL,96.9149150880835
4,2019-06-07,392000.0,1411,393411.0,0.0,BUY,0.0
5,2019-07-05,390000.0,1794,393411.0,-5205.0,SELL,83.8103025347506
6,2019-07-31,440000.0,1584,441584.0,0.0,BUY,19.144145687829408
7,2019-09-06,474000.0,2180,441584.0,30236.0,SELL,92.08015535729363
8,2019-09-26,473000.0,1702,474702.0,0.0,BUY,0.0
9,2019-10-14,474000.0,2180,474702.0,-2882.0,SELL,97.15263104940135
10,2019-11-01,450000.0,1620,451620.0,0.0,BUY,4.285714285714278
11,2019-11-04,475000.0,2185,451620.0,21195.0,SELL,88.8126159554731
12,2019-12-19,484000.0,1742,485742.0,0.0,BUY,0.0
13,2019-12-26,485000.0,2231,485742.0,-2973.0,SELL,88.90925756186985
