,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,SO,MFII_14,CCI_20,SO_14
0,2019-02-26,361000.0,1299,362299.0,0.0,BUY,BUY,BUY,5.080140196117043,-17.535042162282828,1.4285714285714286
1,2019-04-02,370000.0,1702,362299.0,5999.0,SELL,SELL,SELL,86.11111111111111,59.440945751850286,100.0
2,2019-04-24,370000.0,1332,371332.0,0.0,BUY,BUY, ,0.0,-100.32095369096787,100.0
3,2019-04-25,370000.0,1702,371332.0,-3034.0, ,SELL,SELL,0.0,43.94353369763191,100.0
4,2019-05-17,399000.0,1436,400436.0,0.0, , ,BUY,89.88150945642505,34.62749213011542,16.470588235294116
5,2019-05-20,399000.0,1835,400436.0,-3271.0,SELL,SELL, ,84.85199542544817,32.53968253968242,0.0
6,2019-05-21,399000.0,1436,400436.0,0.0, , ,BUY,84.60131648118943,26.05363984674305,0.0
7,2019-05-23,399000.0,1835,400436.0,-3271.0,SELL,SELL, ,94.34408026334441,1.8977904297137183,0.0
8,2019-05-24,399000.0,1436,400436.0,0.0, ,BUY,BUY,94.34408026334441,-33.75527426160357,0.0
9,2019-06-12,480000.0,2208,400436.0,77356.0, , ,SELL,73.87247278382581,576.4781491002569,100.0
10,2019-07-02,390000.0,1404,391404.0,0.0, ,BUY,BUY,68.70595771941063,-72.13218938671749,0.0
11,2019-07-10,410000.0,1886,391404.0,16710.0,SELL,SELL,SELL,98.85421450844835,0.3650967506387864,100.0
12,2019-08-28,472000.0,1699,473699.0,0.0, , ,BUY,72.79703286865328,32.499999999999986,0.0
13,2019-09-05,475000.0,2185,473699.0,-884.0, ,SELL,SELL,50.17705382436261,4.576659038901621,100.0
14,2019-09-27,473000.0,1702,474702.0,0.0,BUY, ,BUY,0.0,15.889464594130038,0.0
15,2019-10-14,474000.0,2180,474702.0,-2882.0,SELL,SELL, ,97.15263104940135,55.880441845349104,75.0
16,2019-10-22,461000.0,1659,462659.0,0.0, , ,BUY,92.78370327664072,-485.4586129753909,0.0
17,2019-11-04,475000.0,2185,462659.0,10156.0,SELL,SELL,SELL,88.8126159554731,19.102990033222596,100.0
18,2019-12-18,484000.0,1742,485742.0,0.0, , ,BUY,88.94303990252817,40.12345679012427,0.0
19,2019-12-26,485000.0,2231,485742.0,-2973.0,SELL,SELL,SELL,88.90925756186985,70.97933513028286,100.0
