,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,SO,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,SO_14
0,2019-02-26,361000.0,1299,362299.0,0.0,BUY,BUY,BUY,5.080140196117043,3616.5,3943.8698214557967,3289.1301785442033,1.4285714285714286
1,2019-04-02,370000.0,1702,362299.0,5999.0,SELL, ,SELL,86.11111111111111,3576.0,3694.0508365069904,3457.9491634930096,100.0
2,2019-04-22,370000.0,1332,371332.0,0.0,BUY, , ,0.0,3650.0,3823.205080756888,3476.794919243112,100.0
3,2019-04-23,370000.0,1702,371332.0,-3034.0, ,SELL,SELL,0.0,3660.0,3820.0000000000005,3499.9999999999995,100.0
4,2019-04-24,370000.0,1332,371332.0,0.0,BUY,BUY, ,0.0,3670.0,3812.8285685708574,3527.1714314291426,100.0
5,2019-04-25,370000.0,1702,371332.0,-3034.0, ,SELL,SELL,0.0,3680.0,3800.000000000001,3559.999999999999,100.0
6,2019-04-26,370000.0,1332,371332.0,0.0,BUY, , ,0.0,3690.0,3777.1779788708145,3602.8220211291855,100.0
7,2019-04-29,400000.0,1840,371332.0,26828.0, ,SELL,SELL,48.93820090670484,3715.0,3845.766968306221,3584.233031693779,100.0
8,2019-05-24,399000.0,1436,400436.0,0.0, ,BUY,BUY,94.34408026334441,4002.0,4047.8693797647206,3956.1306202352794,0.0
9,2019-05-27,399000.0,1835,400436.0,-3271.0,SELL, , ,94.34408026334441,4001.5,4047.662755550337,3955.337244449663,0.0
10,2019-05-28,399000.0,1436,400436.0,0.0, ,BUY,BUY,94.34408026334441,4001.0,4047.4327470649773,3954.5672529350227,0.0
11,2019-05-29,399000.0,1835,400436.0,-3271.0,SELL, , ,94.34408026334441,4000.5,4047.179760067937,3953.820239932063,0.0
12,2019-05-30,399000.0,1436,400436.0,0.0, ,BUY,BUY,94.34408026334441,3995.0,4005.0000000000086,3984.9999999999914,0.0
13,2019-05-31,392000.0,1803,400436.0,-10239.0,SELL, , ,90.9739835669699,3991.0,4025.0000000000027,3956.9999999999973,0.0
14,2019-06-03,392000.0,1411,393411.0,0.0, ,BUY,BUY,90.9739835669699,3987.0,4032.6508488420554,3941.3491511579446,0.0
15,2019-06-04,392000.0,1803,393411.0,-3214.0,SELL, , ,90.9739835669699,3983.0,4036.7028863283917,3929.2971136716083,0.0
16,2019-06-05,392000.0,1411,393411.0,0.0, ,BUY,BUY,90.9739835669699,3979.0,4038.632206063504,3919.367793936496,0.0
17,2019-06-06,392000.0,1803,393411.0,-3214.0,SELL, , ,94.40653122980662,3975.0,4039.03124237433,3910.96875762567,0.0
18,2019-06-07,392000.0,1411,393411.0,0.0,BUY,BUY,BUY,0.0,3971.0,4038.201190465647,3903.798809534353,0.0
19,2019-06-13,475000.0,2185,393411.0,79404.0, ,SELL,SELL,77.44317636904191,4040.5,4534.8470440894735,3546.152955910526,95.45454545454545
20,2019-07-02,390000.0,1404,391404.0,0.0, ,BUY,BUY,68.70595771941063,4100.0,4670.438427878066,3529.5615721219333,0.0
21,2019-07-05,390000.0,1794,391404.0,-3198.0,SELL, , ,83.8103025347506,4097.0,4671.390111335493,3522.609888664507,0.0
22,2019-07-08,390000.0,1404,391404.0,0.0, ,BUY,BUY,86.64412510566356,4096.0,4671.687415182927,3520.3125848170725,0.0
23,2019-07-09,390000.0,1794,391404.0,-3198.0,SELL, , ,86.64412510566356,4095.0,4671.974869470067,3518.0251305299334,0.0
24,2019-07-31,440000.0,1584,441584.0,0.0,BUY, , ,19.144145687829408,4034.0,4458.18863728299,3609.81136271701,77.41935483870968
25,2019-08-02,475000.0,2185,441584.0,31231.0, ,SELL,SELL,67.90576262225747,4109.0,4662.205206049256,3555.794793950744,100.0
26,2019-08-22,472000.0,1699,473699.0,0.0,BUY, , ,14.268268066209117,4633.0,5028.934337990531,4237.065662009469,91.42857142857143
27,2019-08-23,472000.0,2171,473699.0,-3870.0, ,SELL,SELL,14.881052631578953,4664.0,4976.435593362856,4351.564406637144,80.0
28,2019-08-26,472000.0,1699,473699.0,0.0,BUY, , ,14.258297105291064,4695.0,4870.442298206561,4519.557701793439,80.0
29,2019-09-06,474000.0,2180,473699.0,-1879.0,SELL,SELL,SELL,92.08015535729363,4723.5,4765.105288125429,4681.894711874571,87.5
30,2019-09-26,473000.0,1702,474702.0,0.0,BUY, , ,0.0,4728.5,4771.055845661906,4685.944154338094,90.0
31,2019-10-14,474000.0,2180,474702.0,-2882.0,SELL, , ,97.15263104940135,4726.5,4746.773134932712,4706.226865067288,75.0
32,2019-10-22,461000.0,1659,462659.0,0.0, ,BUY,BUY,92.78370327664072,4717.5,4769.605661880451,4665.394338119549,0.0
33,2019-10-23,461000.0,2120,462659.0,-3779.0,SELL, , ,92.78370327664072,4711.5,4781.1491205974635,4641.8508794025365,0.0
34,2019-10-24,461000.0,1659,462659.0,0.0, ,BUY,BUY,92.78370327664072,4705.5,4787.347419018562,4623.652580981438,0.0
35,2019-10-25,461000.0,2120,462659.0,-3779.0,SELL, , ,92.78370327664072,4699.5,4790.379040487892,4608.620959512108,0.0
36,2019-10-28,451000.0,1623,452623.0,0.0, ,BUY,BUY,86.72586507313977,4688.5,4810.0360028962605,4566.9639971037395,0.0
37,2019-10-29,450000.0,2070,452623.0,-4693.0,SELL, , ,82.77044402537288,4677.5,4823.085026702611,4531.914973297389,26.470588235294116
38,2019-11-01,450000.0,1620,451620.0,0.0,BUY,BUY, ,4.285714285714278,4644.5,4830.669277809202,4458.330722190798,27.272727272727273
39,2019-11-04,475000.0,2185,451620.0,21195.0,SELL, ,SELL,88.8126159554731,4646.0,4835.039678374673,4456.960321625327,100.0
40,2019-12-19,484000.0,1742,485742.0,0.0,BUY, ,BUY,0.0,4822.0,4896.726166769076,4747.273833230924,0.0
41,2019-12-26,485000.0,2231,485742.0,-2973.0,SELL,SELL,SELL,88.90925756186985,4836.0,4880.452221541784,4791.547778458216,100.0
