,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,SO,MFII_14,CCI_20,SO_14
0,2019-01-28,309000.0,1112,310112.0,0.0, ,BUY, ,34.18365078188691,-38.851641739728215,42.22222222222222
1,2019-01-29,350000.0,1610,310112.0,38278.0, ,SELL,SELL,36.078600734182686,87.80826073765874,100.0
2,2019-02-25,361000.0,1299,362299.0,0.0, ,BUY, ,27.62513887637749,-7.933955183874596,23.333333333333332
3,2019-04-02,370000.0,1702,362299.0,5999.0,SELL,SELL,SELL,86.11111111111111,59.440945751850286,100.0
4,2019-04-22,370000.0,1332,371332.0,0.0,BUY, , ,0.0,49.31141714793424,100.0
5,2019-04-23,370000.0,1702,371332.0,-3034.0, ,SELL,SELL,0.0,46.251588310038116,100.0
6,2019-04-24,370000.0,1332,371332.0,0.0,BUY,BUY, ,0.0,-100.32095369096787,100.0
7,2019-04-25,370000.0,1702,371332.0,-3034.0, ,SELL,SELL,0.0,43.94353369763191,100.0
8,2019-04-26,370000.0,1332,371332.0,0.0,BUY, , ,0.0,41.66666666666649,100.0
9,2019-04-29,400000.0,1840,371332.0,26828.0, , ,SELL,48.93820090670484,584.4428871758896,100.0
10,2019-05-17,399000.0,1436,400436.0,0.0, , ,BUY,89.88150945642505,34.62749213011542,16.470588235294116
11,2019-05-20,399000.0,1835,400436.0,-3271.0,SELL,SELL, ,84.85199542544817,32.53968253968242,0.0
12,2019-05-21,399000.0,1436,400436.0,0.0, , ,BUY,84.60131648118943,26.05363984674305,0.0
13,2019-05-22,399000.0,1835,400436.0,-3271.0, ,SELL, ,48.9815276676125,16.302462712452098,0.0
14,2019-05-23,399000.0,1436,400436.0,0.0, , ,BUY,94.34408026334441,1.8977904297137183,0.0
15,2019-05-24,399000.0,1835,400436.0,-3271.0,SELL, , ,94.34408026334441,-33.75527426160357,0.0
16,2019-05-27,399000.0,1436,400436.0,0.0, ,BUY,BUY,94.34408026334441,-45.016077170417994,0.0
17,2019-05-28,399000.0,1835,400436.0,-3271.0,SELL, , ,94.34408026334441,-50.55087491898896,0.0
18,2019-05-29,399000.0,1436,400436.0,0.0, ,BUY,BUY,94.34408026334441,-49.15912031047865,0.0
19,2019-05-30,399000.0,1835,400436.0,-3271.0,SELL, , ,94.34408026334441,-71.26436781609625,0.0
20,2019-05-31,392000.0,1411,393411.0,0.0, , ,BUY,90.9739835669699,-580.9523809523829,0.0
21,2019-06-03,392000.0,1803,393411.0,-3214.0,SELL, , ,90.9739835669699,-333.33333333334065,0.0
22,2019-06-04,392000.0,1411,393411.0,0.0, , ,BUY,90.9739835669699,-222.22222222222567,0.0
23,2019-06-05,392000.0,1803,393411.0,-3214.0,SELL, , ,90.9739835669699,-166.66666666666876,0.0
