,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,BB_MAVG_20
0,2019-01-28,378000.0,1360,379360.0,0.0,BUY, ,3857.0
1,2019-01-31,390000.0,1794,379360.0,8846.0, ,SELL,3876.0
2,2019-02-01,387000.0,1393,388393.0,0.0,BUY, ,3884.0
3,2019-02-11,393000.0,1807,388393.0,2800.0, ,SELL,3896.5
4,2019-02-12,382000.0,1375,383375.0,0.0,BUY, ,3891.0
5,2019-02-18,390000.0,1794,383375.0,4831.0, ,SELL,3850.5
6,2019-02-20,387000.0,1393,388393.0,0.0,BUY, ,3844.0
7,2019-02-21,387000.0,1780,388393.0,-3173.0,SELL, ,3844.5
8,2019-02-22,384000.0,1382,385382.0,0.0,BUY, ,3842.5
9,2019-02-25,391000.0,1798,385382.0,3820.0,SELL, ,3849.0
10,2019-02-28,386000.0,1389,387389.0,0.0,BUY, ,3854.0
11,2019-03-01,391000.0,1798,387389.0,1813.0,SELL, ,3856.0
12,2019-03-04,385000.0,1386,386386.0,0.0,BUY, ,3859.5
13,2019-03-27,382000.0,1757,386386.0,-6143.0,SELL, ,3801.0
14,2019-04-12,383000.0,1378,384378.0,0.0,BUY, ,3882.5
15,2019-05-07,390000.0,1794,384378.0,3828.0, ,SELL,3849.0
16,2019-05-09,380000.0,1368,381368.0,0.0,BUY, ,3843.0
17,2019-05-27,382000.0,1757,381368.0,-1125.0,SELL, ,3736.5
18,2019-05-28,369000.0,1328,370328.0,0.0,BUY, ,3731.5
19,2019-05-29,378000.0,1738,370328.0,5934.0, ,SELL,3731.0
20,2019-07-23,425000.0,1530,426530.0,0.0,BUY, ,4229.0
21,2019-07-30,427000.0,1964,426530.0,-1494.0,SELL, ,4246.5
22,2019-07-31,430000.0,1548,431548.0,0.0,BUY, ,4249.5
23,2019-08-01,428000.0,1968,431548.0,-5516.0,SELL, ,4251.0
24,2019-08-02,428000.0,1540,429540.0,0.0,BUY, ,4251.0
25,2019-08-08,426000.0,1959,429540.0,-5499.0,SELL, ,4226.0
26,2019-08-15,429000.0,1544,430544.0,0.0,BUY, ,4235.0
27,2019-08-16,428000.0,1968,430544.0,-4512.0, ,SELL,4235.5
28,2019-08-26,433000.0,1558,434558.0,0.0,BUY, ,4291.0
29,2019-08-27,438000.0,2014,434558.0,1428.0,SELL, ,4296.5
30,2019-09-03,435000.0,1566,436566.0,0.0,BUY, ,4341.0
31,2019-09-26,436000.0,2005,436566.0,-2571.0, ,SELL,4271.5
32,2019-10-01,425000.0,1530,426530.0,0.0,BUY, ,4254.5
33,2019-10-21,420000.0,1932,426530.0,-8462.0, ,SELL,4197.0
34,2019-10-31,411000.0,1479,412479.0,0.0,BUY, ,4198.5
35,2019-12-05,406000.0,1867,412479.0,-8346.0, ,SELL,4010.5
36,2019-12-12,395000.0,1422,396422.0,0.0,BUY, ,3991.5
37,2019-12-13,399000.0,1835,396422.0,743.0, ,SELL,3987.0
38,2019-12-16,397000.0,1429,398429.0,0.0,BUY, ,3985.5
39,2019-12-18,399000.0,1835,398429.0,-1264.0, ,SELL,3978.5
40,2019-12-19,390000.0,1404,391404.0,0.0,BUY, ,3972.5
41,2019-12-20,402000.0,1849,391404.0,8747.0, ,SELL,3971.0
42,2019-12-26,400000.0,1440,401440.0,0.0,BUY, ,3981.5
43,2019-12-27,399000.0,1835,401440.0,-4275.0, ,SELL,3987.0
44,2019-12-30,397000.0,1429,398429.0,0.0,BUY, ,3994.5
