,Date,Close Price,Fee,Purchased Price,Capital Gain,CCI,SO,CCI_20,SO_14
0,2019-01-28,378000.0,1360,379360.0,0.0,BUY,BUY,-39.62879357913207,15.625
1,2019-02-11,393000.0,1807,379360.0,11833.0,SELL,SELL,19.124891335844644,80.0
2,2019-02-14,374000.0,1346,375346.0,0.0,BUY,BUY,-130.79403466344237,4.761904761904762
3,2019-02-18,390000.0,1794,375346.0,12860.0,SELL,SELL,47.61904761904787,80.95238095238095
4,2019-03-07,382000.0,1375,383375.0,0.0,BUY,BUY,-75.44836116264662,0.0
5,2019-03-27,382000.0,1757,383375.0,-3132.0,SELL,SELL,37.00333636639395,84.61538461538461
6,2019-04-12,383000.0,1378,384378.0,0.0,BUY,BUY,-38.67569601203926,16.129032258064516
7,2019-05-08,390000.0,1794,384378.0,3828.0,SELL,SELL,115.73823688480142,90.0
8,2019-05-22,354000.0,1274,355274.0,0.0,BUY,BUY,-136.96885492647888,13.636363636363637
9,2019-05-29,378000.0,1738,355274.0,20988.0,SELL,SELL,33.98028901384582,83.33333333333333
10,2019-07-24,419000.0,1508,420508.0,0.0,BUY,BUY,-64.71306471306417,14.285714285714286
11,2019-07-30,427000.0,1964,420508.0,4528.0,SELL,SELL,78.45303867403295,84.21052631578948
12,2019-09-05,432000.0,1555,433555.0,0.0,BUY,BUY,-26.5895953757236,18.181818181818183
13,2019-09-26,436000.0,2005,433555.0,440.0,SELL,SELL,44.83925549915493,95.45454545454545
14,2019-10-04,419000.0,1508,420508.0,0.0,BUY,BUY,-74.07407407407256,16.0
15,2019-10-22,423000.0,1945,420508.0,547.0,SELL,SELL,34.08360128617365,89.47368421052632
16,2019-10-31,411000.0,1479,412479.0,0.0,BUY,BUY,-66.08416189615316,10.714285714285714
17,2019-12-05,406000.0,1867,412479.0,-8346.0,SELL,SELL,35.97290352721324,89.65517241379311
18,2019-12-19,390000.0,1404,391404.0,0.0,BUY,BUY,-59.76863753213359,0.0
