,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,MFII_14
0,2019-01-28,378000.0,1360,379360.0,0.0, ,BUY,55.99058268025166
1,2019-01-31,390000.0,1794,379360.0,8846.0, ,SELL,62.22610743050215
2,2019-02-01,387000.0,1393,388393.0,0.0, ,BUY,61.69518319671105
3,2019-02-11,393000.0,1807,388393.0,2800.0, ,SELL,52.275980992652116
4,2019-02-12,382000.0,1375,383375.0,0.0, ,BUY,51.4579274428274
5,2019-02-18,390000.0,1794,383375.0,4831.0, ,SELL,54.27978719438988
6,2019-02-22,384000.0,1382,385382.0,0.0, ,BUY,45.95565194933305
7,2019-02-25,391000.0,1798,385382.0,3820.0, ,SELL,48.90337383813755
8,2019-03-05,387000.0,1393,388393.0,0.0, ,BUY,43.210256315251044
9,2019-03-27,382000.0,1757,388393.0,-8150.0, ,SELL,51.66802816860431
10,2019-04-12,383000.0,1378,384378.0,0.0, ,BUY,51.55734660773722
11,2019-05-07,390000.0,1794,384378.0,3828.0, ,SELL,53.45458591628933
12,2019-05-09,380000.0,1368,381368.0,0.0, ,BUY,47.98432827614302
13,2019-05-27,382000.0,1757,381368.0,-1125.0, ,SELL,48.49602673893769
14,2019-05-28,369000.0,1328,370328.0,0.0, ,BUY,34.0617719769278
15,2019-05-29,378000.0,1738,370328.0,5934.0, ,SELL,41.6653879398682
16,2019-07-24,419000.0,1508,420508.0,0.0, ,BUY,38.008605414069315
17,2019-07-30,427000.0,1964,420508.0,4528.0, ,SELL,41.670991054474
18,2019-08-06,413000.0,1486,414486.0,0.0, ,BUY,40.87603964034862
19,2019-08-08,426000.0,1959,414486.0,9555.0, ,SELL,49.22452255804696
20,2019-09-04,429000.0,1544,430544.0,0.0, ,BUY,63.686095006846465
21,2019-09-26,436000.0,2005,430544.0,3451.0, ,SELL,53.81980253732716
22,2019-10-02,420000.0,1512,421512.0,0.0, ,BUY,47.44518079047164
23,2019-10-21,420000.0,1932,421512.0,-3444.0, ,SELL,48.69789315781126
24,2019-10-31,411000.0,1479,412479.0,0.0, ,BUY,52.31258360678906
25,2019-12-05,406000.0,1867,412479.0,-8346.0, ,SELL,32.901060320883275
26,2019-12-12,395000.0,1422,396422.0,0.0, ,BUY,33.94409983728151
27,2019-12-13,399000.0,1835,396422.0,743.0, ,SELL,40.71400286912498
28,2019-12-16,397000.0,1429,398429.0,0.0, ,BUY,47.36152211562441
29,2019-12-18,399000.0,1835,398429.0,-1264.0, ,SELL,54.73416900885373
30,2019-12-19,390000.0,1404,391404.0,0.0, ,BUY,46.5944315799918
31,2019-12-20,402000.0,1849,391404.0,8747.0, ,SELL,49.777410899901525
32,2019-12-30,397000.0,1429,398429.0,0.0, ,BUY,39.044084553236424
