,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,SO,BB_MAVG_20
0,2019-02-12,80500.0,289,80789.0,0.0,BUY, ,780.25
1,2019-02-13,80500.0,370,80789.0,-659.0,SELL, ,785.75
2,2019-02-20,82500.0,297,82797.0,0.0,BUY, ,812.5
3,2019-03-14,83000.0,381,82797.0,-178.0, ,SELL,802.25
4,2019-03-19,80000.0,288,80288.0,0.0,BUY, ,798.25
5,2019-04-30,77500.0,356,80288.0,-3144.0,SELL, ,738.0
6,2019-05-06,73000.0,262,73262.0,0.0,BUY, ,735.75
7,2019-05-30,70500.0,324,73262.0,-3086.0,SELL, ,704.25
8,2019-05-31,72000.0,259,72259.0,0.0,BUY, ,702.5
9,2019-06-03,72000.0,331,72259.0,-590.0,SELL, ,702.0
10,2019-06-20,72000.0,259,72259.0,0.0,BUY, ,710.75
11,2019-07-05,78500.0,361,72259.0,5880.0,SELL, ,725.5
12,2019-07-16,76000.0,273,76273.0,0.0,BUY, ,747.0
13,2019-08-16,76000.0,349,76273.0,-622.0,SELL, ,740.75
14,2019-08-19,73500.0,264,73764.0,0.0,BUY, ,739.0
15,2019-08-21,74500.0,342,73764.0,394.0, ,SELL,736.0
16,2019-08-22,72500.0,261,72761.0,0.0,BUY, ,733.25
17,2019-10-14,65500.0,301,72761.0,-7562.0, ,SELL,640.25
18,2019-10-25,64500.0,232,64732.0,0.0,BUY, ,643.5
19,2019-10-29,66000.0,303,64732.0,965.0,SELL, ,644.0
20,2019-11-01,65000.0,234,65234.0,0.0,BUY, ,650.5
21,2019-11-13,66000.0,303,65234.0,463.0,SELL, ,652.25
22,2019-11-14,66000.0,237,66237.0,0.0,BUY, ,652.5
23,2019-11-15,67000.0,308,66237.0,455.0,SELL, ,652.5
24,2019-11-20,67000.0,241,67241.0,0.0,BUY, ,653.25
25,2019-11-21,68500.0,315,67241.0,944.0,SELL, ,654.75
26,2019-11-22,66000.0,237,66237.0,0.0,BUY, ,655.5
27,2019-11-26,68500.0,315,66237.0,1948.0,SELL, ,657.75
28,2019-12-17,74500.0,268,74768.0,0.0,BUY, ,725.0
29,2019-12-18,76500.0,351,74768.0,1381.0,SELL, ,729.75
