,Date,Close Price,Fee,Purchased Price,Capital Gain,CCI,SO,CCI_20,SO_14
0,2019-02-27,77000.0,277,77277.0,0.0,BUY,BUY,-183.52059925093602,9.523809523809524
1,2019-03-14,83000.0,381,77277.0,5342.0,SELL,SELL,89.56228956228983,85.0
2,2019-03-25,76000.0,273,76273.0,0.0,BUY,BUY,-146.6666666666665,5.555555555555555
3,2019-04-30,77500.0,356,76273.0,871.0,SELL,SELL,83.29850954171913,94.44444444444444
4,2019-05-13,72000.0,259,72259.0,0.0,BUY,BUY,-51.55450609996054,15.789473684210526
5,2019-06-10,73500.0,338,72259.0,903.0,SELL,SELL,131.24387855044074,83.33333333333333
6,2019-07-31,74000.0,266,74266.0,0.0,BUY,BUY,-143.3998100664764,6.25
7,2019-10-14,65500.0,301,74266.0,-9067.0,SELL,SELL,43.737574552683874,84.61538461538461
8,2019-11-04,64000.0,230,64230.0,0.0,BUY,BUY,-54.88621151271784,7.6923076923076925
9,2019-11-13,66000.0,303,64230.0,1467.0,SELL,SELL,64.04657933042166,80.0
