,Date,Close Price,Fee,Purchased Price,Capital Gain,CCI,SO,CCI_20
0,2019-02-22,81000.0,291,81291.0,0.0,BUY, ,-11.673765578167052
1,2019-03-12,80500.0,370,81291.0,-1161.0,SELL, ,23.71794871794901
2,2019-03-13,80000.0,288,80288.0,0.0,BUY, ,-7.112835434853045
3,2019-03-14,83000.0,381,80288.0,2331.0,SELL, ,89.56228956228983
4,2019-03-20,80000.0,288,80288.0,0.0,BUY, ,-25.43859649122829
5,2019-03-21,80000.0,368,80288.0,-656.0,SELL, ,23.14814814814796
6,2019-03-22,80000.0,288,80288.0,0.0,BUY, ,-6.787273893827832e-13
7,2019-04-30,77500.0,356,80288.0,-3144.0,SELL, ,83.29850954171913
8,2019-05-06,73000.0,262,73262.0,0.0,BUY, ,-21.65354330708704
9,2019-05-30,70500.0,324,73262.0,-3086.0,SELL, ,1.111111111110859
10,2019-06-21,72000.0,259,72259.0,0.0,BUY, ,-4.672897196261663
11,2019-06-24,72500.0,333,72259.0,-92.0,SELL, ,46.94167852062641
12,2019-06-26,71000.0,255,71255.0,0.0,BUY, ,-90.82125603864688
13,2019-07-03,72000.0,331,71255.0,414.0,SELL, ,2.2002200220017074
14,2019-07-18,75000.0,270,75270.0,0.0,BUY, ,-3.0384271671134133
15,2019-07-19,78500.0,361,75270.0,2869.0,SELL, ,48.40182648401811
16,2019-07-30,76000.0,273,76273.0,0.0,BUY, ,-2.123142250530593
17,2019-08-13,74000.0,340,76273.0,-2613.0,SELL, ,2.17627856365615
18,2019-08-15,75000.0,270,75270.0,0.0,BUY, ,-10.86956521739131
19,2019-08-16,76000.0,349,75270.0,381.0,SELL, ,41.324371421458906
20,2019-08-20,71000.0,255,71255.0,0.0,BUY, ,-63.455947414991634
21,2019-08-21,74500.0,342,71255.0,2903.0, ,SELL,-3.179650238473769
22,2019-08-23,72500.0,261,72761.0,0.0,BUY, ,-8.928571428571829
23,2019-08-29,72000.0,331,72761.0,-1092.0,SELL, ,24.78551000953245
24,2019-08-30,70500.0,253,70753.0,0.0,BUY, ,-41.89772027110306
25,2019-10-11,64500.0,296,70753.0,-6549.0,SELL, ,1.6220600162207852
26,2019-11-04,64000.0,230,64230.0,0.0,BUY, ,-54.88621151271784
27,2019-11-12,66000.0,303,64230.0,1467.0,SELL, ,37.03703703703676
