,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,MFII_14
0,2019-02-12,80500.0,289,80789.0,0.0, ,BUY,75.42124783013121
1,2019-02-13,80500.0,370,80789.0,-659.0, ,SELL,72.20562577915271
2,2019-02-20,82500.0,297,82797.0,0.0, ,BUY,50.90828763187805
3,2019-03-15,81500.0,374,82797.0,-1671.0, ,SELL,57.978653660570686
4,2019-03-19,80000.0,288,80288.0,0.0, ,BUY,57.89047721446662
5,2019-04-30,77500.0,356,80288.0,-3144.0, ,SELL,50.449382803003246
6,2019-05-06,73000.0,262,73262.0,0.0, ,BUY,49.86578147467885
7,2019-05-30,70500.0,324,73262.0,-3086.0, ,SELL,41.17859407168544
8,2019-05-31,72000.0,259,72259.0,0.0, ,BUY,48.793222260808896
9,2019-06-03,72000.0,331,72259.0,-590.0, ,SELL,52.649186856975234
10,2019-06-20,72000.0,259,72259.0,0.0, ,BUY,73.14164969376726
11,2019-07-05,78500.0,361,72259.0,5880.0, ,SELL,77.50444764559123
12,2019-07-16,76000.0,273,76273.0,0.0, ,BUY,66.90824306564849
13,2019-08-16,76000.0,349,76273.0,-622.0, ,SELL,52.17626248984296
14,2019-08-19,73500.0,264,73764.0,0.0, ,BUY,50.85940256957142
15,2019-10-15,65500.0,301,73764.0,-8565.0, ,SELL,53.991933615875766
16,2019-10-25,64500.0,232,64732.0,0.0, ,BUY,80.65929310636872
17,2019-10-29,66000.0,303,64732.0,965.0, ,SELL,77.99330086013029
18,2019-11-01,65000.0,234,65234.0,0.0, ,BUY,64.20987890816045
19,2019-11-13,66000.0,303,65234.0,463.0, ,SELL,60.55920668435351
20,2019-11-14,66000.0,237,66237.0,0.0, ,BUY,59.41198768211979
21,2019-11-15,67000.0,308,66237.0,455.0, ,SELL,62.15482529244406
22,2019-11-20,67000.0,241,67241.0,0.0, ,BUY,55.07243238394018
23,2019-11-21,68500.0,315,67241.0,944.0, ,SELL,66.78420798067712
24,2019-11-22,66000.0,237,66237.0,0.0, ,BUY,66.55555635854857
25,2019-11-26,68500.0,315,66237.0,1948.0, ,SELL,70.05973610957201
26,2019-12-17,74500.0,268,74768.0,0.0, ,BUY,49.47058014803409
27,2019-12-18,76500.0,351,74768.0,1381.0, ,SELL,57.61253935290698
