,Date,Close Price,Fee,Purchased Price,Capital Gain,SO,SO_14
0,2019-02-27,77000.0,277,77277.0,0.0,BUY,9.523809523809524
1,2019-03-14,83000.0,381,77277.0,5342.0,SELL,85.0
2,2019-03-25,76000.0,273,76273.0,0.0,BUY,5.555555555555555
3,2019-04-30,77500.0,356,76273.0,871.0,SELL,94.44444444444444
4,2019-05-13,72000.0,259,72259.0,0.0,BUY,15.789473684210526
5,2019-06-10,73500.0,338,72259.0,903.0,SELL,83.33333333333333
6,2019-07-31,74000.0,266,74266.0,0.0,BUY,6.25
7,2019-08-21,74500.0,342,74266.0,-108.0,SELL,81.81818181818181
8,2019-08-27,70500.0,253,70753.0,0.0,BUY,17.647058823529413
9,2019-10-14,65500.0,301,70753.0,-5554.0,SELL,84.61538461538461
10,2019-11-04,64000.0,230,64230.0,0.0,BUY,7.6923076923076925
11,2019-11-13,66000.0,303,64230.0,1467.0,SELL,80.0
