,Date,Close Price,Fee,Purchased Price,Capital Gain,CCI,CCI_20
0,2019-01-29,952000.0,3427,955427.0,0.0,BUY,-22.568598798506585
1,2019-01-30,981500.0,4514,955427.0,21559.0,SELL,56.52884839990694
2,2019-02-14,977500.0,3519,981019.0,0.0,BUY,-13.013571295780446
3,2019-02-19,986000.0,4535,981019.0,446.0,SELL,31.41435678749162
4,2019-02-25,976500.0,3515,980015.0,0.0,BUY,-9.437523593808416
5,2019-02-26,999500.0,4597,980015.0,14888.0,SELL,57.63835756184622
6,2019-02-27,980000.0,3528,983528.0,0.0,BUY,-27.64315203733551
7,2019-03-13,989000.0,4549,983528.0,923.0,SELL,45.93866290260488
8,2019-03-25,970000.0,3492,973492.0,0.0,BUY,-68.87589343729854
9,2019-03-29,984000.0,4526,973492.0,5982.0,SELL,33.06613226452898
10,2019-04-04,979500.0,3526,983026.0,0.0,BUY,-7.613788487281226
11,2019-04-15,976000.0,4489,983026.0,-11515.0,SELL,3.3977738722897075
12,2019-04-22,965500.0,3475,968975.0,0.0,BUY,-103.12665606783077
13,2019-04-23,985000.0,4531,968975.0,11494.0,SELL,1.2665515256180404
14,2019-04-24,973000.0,3502,976502.0,0.0,BUY,-63.42949292241264
15,2019-05-30,870000.0,4002,976502.0,-110504.0,SELL,17.91516326493927
16,2019-07-03,898000.0,3232,901232.0,0.0,BUY,-12.309339042012459
17,2019-07-18,915000.0,4209,901232.0,9559.0,SELL,194.67264127458196
18,2019-07-26,896000.0,3225,899225.0,0.0,BUY,-198.72905834777703
19,2019-08-01,911000.0,4190,899225.0,7585.0,SELL,25.539757767245558
20,2019-08-05,876500.0,3155,879655.0,0.0,BUY,-72.66244852867379
21,2019-08-07,896500.0,4123,879655.0,12722.0,SELL,8.903974813065023
22,2019-08-13,885500.0,3187,888687.0,0.0,BUY,-26.23906705539372
23,2019-08-16,899500.0,4137,888687.0,6676.0,SELL,28.039406733788873
24,2019-09-12,921500.0,3317,924817.0,0.0,BUY,-22.675399424431735
25,2019-12-03,853500.0,3926,924817.0,-75243.0,SELL,9.317703636910991
26,2019-12-04,840000.0,3024,843024.0,0.0,BUY,-33.13609467455618
27,2019-12-09,845500.0,3889,843024.0,-1413.0,SELL,1.1785503830310158
28,2019-12-11,842000.0,3031,845031.0,0.0,BUY,-8.330177962890135
29,2019-12-26,849000.0,3905,845031.0,64.0,SELL,62.726304579340436
