,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,CCI,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20
0,2019-01-29,952000.0,3427,955427.0,0.0, ,BUY,BUY,52.999447999532215,9647.5,10016.478319146261,9278.521680853739,-22.568598798506585
1,2019-01-30,981500.0,4514,955427.0,21559.0, , ,SELL,54.54886398445706,9674.25,10008.738789049798,9339.761210950202,56.52884839990694
2,2019-02-14,977500.0,3519,981019.0,0.0, ,BUY,BUY,56.79143918672032,9815.75,10061.01057571489,9570.48942428511,-13.013571295780446
3,2019-02-19,986000.0,4535,981019.0,446.0, , ,SELL,63.816952433805255,9815.75,10079.857459190383,9551.642540809617,31.41435678749162
4,2019-02-25,976500.0,3515,980015.0,0.0, ,BUY,BUY,50.14225297766168,9846.0,10097.089625432833,9594.910374567167,-9.437523593808416
5,2019-02-26,999500.0,4597,980015.0,14888.0, , ,SELL,49.66589705854643,9869.75,10079.451573670776,9660.048426329224,57.63835756184622
6,2019-02-27,980000.0,3528,983528.0,0.0, ,BUY,BUY,43.81063422473229,9869.0,10079.584899743548,9658.415100256452,-27.64315203733551
7,2019-03-13,989000.0,4549,983528.0,923.0, , ,SELL,38.50956725157332,9802.25,10021.463936600756,9583.036063399244,45.93866290260488
8,2019-03-25,970000.0,3492,973492.0,0.0, ,BUY,BUY,50.354478621125224,9811.5,10010.324042811728,9612.675957188272,-68.87589343729854
9,2019-03-29,984000.0,4526,973492.0,5982.0, , ,SELL,62.39123137946677,9799.0,9991.473374782072,9606.526625217928,33.06613226452898
10,2019-04-04,979500.0,3526,983026.0,0.0, ,BUY,BUY,38.51542790575256,9814.25,10008.80783201917,9619.69216798083,-7.613788487281226
11,2019-04-15,976000.0,4489,983026.0,-11515.0, , ,SELL,68.00433727515116,9795.25,9933.542262979532,9656.957737020468,3.3977738722897075
12,2019-04-22,965500.0,3475,968975.0,0.0, ,BUY,BUY,63.34581079166392,9799.5,9954.12535367785,9644.87464632215,-103.12665606783077
13,2019-04-23,985000.0,4531,968975.0,11494.0, , ,SELL,67.1885978971134,9809.5,9949.317738502667,9669.682261497333,1.2665515256180404
14,2019-04-24,973000.0,3502,976502.0,0.0, ,BUY,BUY,56.84176697751444,9808.0,9950.52719038836,9665.47280961164,-63.42949292241264
15,2019-05-30,870000.0,4002,976502.0,-110504.0, ,SELL,SELL,27.669011941073663,8644.5,9060.815985760817,8228.184014239183,17.91516326493927
16,2019-07-03,898000.0,3232,901232.0,0.0, ,BUY,BUY,56.80077802852513,8999.0,9175.56726763475,8822.43273236525,-12.309339042012459
17,2019-07-18,915000.0,4209,901232.0,9559.0, , ,SELL,46.07933160764464,8988.75,9101.216661726938,8876.283338273062,194.67264127458196
18,2019-07-26,896000.0,3225,899225.0,0.0, ,BUY,BUY,36.93262220656871,9008.0,9150.947542826036,8865.052457173964,-198.72905834777703
19,2019-08-01,911000.0,4190,899225.0,7585.0, , ,SELL,46.36304749740418,8962.5,9261.456518577537,8663.543481422463,25.539757767245558
20,2019-08-05,876500.0,3155,879655.0,0.0, ,BUY,BUY,43.81723328499877,8951.25,9261.924669067179,8640.575330932821,-72.66244852867379
21,2019-08-07,896500.0,4123,879655.0,12722.0, , ,SELL,39.42446975545634,8942.5,9253.442116799897,8631.557883200103,8.903974813065023
22,2019-08-13,885500.0,3187,888687.0,0.0, ,BUY,BUY,35.24970544516913,8945.5,9257.652206463452,8633.347793536548,-26.23906705539372
23,2019-08-16,899500.0,4137,888687.0,6676.0, , ,SELL,48.31131595883003,8926.75,9207.753113861752,8645.746886138248,28.039406733788873
24,2019-09-12,921500.0,3317,924817.0,0.0, ,BUY,BUY,58.61843309948772,9345.0,9848.010934274795,8841.989065725205,-22.675399424431735
25,2019-12-03,853500.0,3926,924817.0,-75243.0, , ,SELL,36.22162419386414,8491.5,8751.117025635842,8231.882974364158,9.317703636910991
26,2019-12-04,840000.0,3024,843024.0,0.0, ,BUY,BUY,31.348519371120332,8477.0,8722.670511050883,8231.329488949117,-33.13609467455618
27,2019-12-09,845500.0,3889,843024.0,-1413.0, , ,SELL,36.294237485319165,8446.0,8642.789227347437,8249.210772652563,1.1785503830310158
28,2019-12-11,842000.0,3031,845031.0,0.0, ,BUY,BUY,36.31908184387457,8433.5,8608.60282693321,8258.39717306679,-8.330177962890135
29,2019-12-26,849000.0,3905,845031.0,64.0, , ,SELL,32.85436343201398,8345.25,8600.327929268688,8090.1720707313125,62.726304579340436
