,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,SO,MFII_14,CCI_20,SO_14
0,2019-02-15,960000.0,3456,963456.0,0.0, ,BUY,BUY,58.76787801822135,-141.76570458404098,16.3265306122449
1,2019-02-20,1000500.0,4602,963456.0,32442.0, ,SELL,SELL,60.131836599525975,142.11529612831094,95.45454545454545
2,2019-03-08,962000.0,3463,965463.0,0.0, ,BUY,BUY,45.75716235600383,-178.21004027900452,4.705882352941177
3,2019-03-14,993000.0,4567,965463.0,22970.0, ,SELL,SELL,43.453333926799445,104.42338072669747,83.54430379746836
4,2019-03-26,965000.0,3474,968474.0,0.0, ,BUY,BUY,43.98282335554893,-97.71453212591538,12.820512820512821
5,2019-04-16,988000.0,4544,968474.0,14982.0, ,SELL,SELL,72.33147170787173,49.773474833986626,92.98245614035088
6,2019-04-22,965500.0,3475,968975.0,0.0, ,BUY,BUY,63.34581079166392,-103.12665606783077,8.16326530612245
7,2019-05-31,890000.0,4094,968975.0,-83069.0, ,SELL,SELL,34.13196697616324,57.948198957981525,100.0
8,2019-07-15,889000.0,3200,892200.0,0.0, ,BUY,BUY,49.204592129288976,-122.22222222222155,16.666666666666668
9,2019-07-18,915000.0,4209,892200.0,18591.0, ,SELL,SELL,46.07933160764464,194.67264127458196,100.0
10,2019-07-29,864000.0,3110,867110.0,0.0, , ,BUY,26.18756125195756,-234.44976076555017,18.75
11,2019-08-01,911000.0,4190,867110.0,39700.0, ,SELL,SELL,46.36304749740418,25.539757767245558,90.76923076923077
12,2019-09-20,923000.0,3322,926322.0,0.0, ,BUY,BUY,34.29044383801104,-88.28337874659496,9.70873786407767
13,2019-12-02,857000.0,3942,926322.0,-73264.0, , ,SELL,30.754601659929406,-1.8258954943335723,86.04651162790698
14,2019-12-12,820000.0,2952,822952.0,0.0, ,BUY,BUY,33.073912346496456,-192.0242739488559,0.0
15,2019-12-26,849000.0,3905,822952.0,22143.0, ,SELL,SELL,32.85436343201398,62.726304579340436,97.67441860465117
