,Date,Close Price,Fee,Purchased Price,Capital Gain,SO,SO_14
0,2019-02-15,960000.0,3456,963456.0,0.0,BUY,16.3265306122449
1,2019-02-20,1000500.0,4602,963456.0,32442.0,SELL,95.45454545454545
2,2019-03-08,962000.0,3463,965463.0,0.0,BUY,4.705882352941177
3,2019-03-14,993000.0,4567,965463.0,22970.0,SELL,83.54430379746836
4,2019-03-26,965000.0,3474,968474.0,0.0,BUY,12.820512820512821
5,2019-04-16,988000.0,4544,968474.0,14982.0,SELL,92.98245614035088
6,2019-04-22,965500.0,3475,968975.0,0.0,BUY,8.16326530612245
7,2019-05-31,890000.0,4094,968975.0,-83069.0,SELL,100.0
8,2019-07-15,889000.0,3200,892200.0,0.0,BUY,16.666666666666668
9,2019-07-18,915000.0,4209,892200.0,18591.0,SELL,100.0
10,2019-07-29,864000.0,3110,867110.0,0.0,BUY,18.75
11,2019-08-01,911000.0,4190,867110.0,39700.0,SELL,90.76923076923077
12,2019-09-20,923000.0,3322,926322.0,0.0,BUY,9.70873786407767
13,2019-12-02,857000.0,3942,926322.0,-73264.0,SELL,86.04651162790698
14,2019-12-12,820000.0,2952,822952.0,0.0,BUY,0.0
15,2019-12-26,849000.0,3905,822952.0,22143.0,SELL,97.67441860465117
