,Ticker Code,Initial Capital,Total Capital Gain,Capital Gain Percentage,Transaction Fee,Number Purchased,Number Sold,Indicator,Stock Layer,Fraction
16,ADRO,126453.0,-8029.0,-6,2029,2,2,MFII_14,LAYER_1,Fraksi_4
17,ADRO,139500.0,1843.0,1,14157,13,13,BB_MAVG_20,LAYER_1,Fraksi_4
18,ADRO,134482.0,14240.0,10,10760,10,10,CCI_20,LAYER_1,Fraksi_4
19,ADRO,138496.0,22876.0,16,8624,8,8,SO_14,LAYER_1,Fraksi_4
16,ADRO,126453.0,-8029.0,-6,2029,2,2,MFII_14,LAYER_1,Fraksi_4
17,ADRO,139500.0,1843.0,1,14157,13,13,BB_MAVG_20,LAYER_1,Fraksi_4
18,ADRO,134482.0,14240.0,10,10760,10,10,CCI_20,LAYER_1,Fraksi_4
19,ADRO,138496.0,22876.0,16,8624,8,8,SO_14,LAYER_1,Fraksi_4
168,ADRO,126453.0,-8029.0,-6,2029,2,2,MFII_14_AND_BB_MAVG_20,LAYER_1,Fraksi_4
169,ADRO,139500.0,1843.0,1,14157,13,13,MFII_14_OR_BB_MAVG_20,LAYER_1,Fraksi_4
170,ADRO,126453.0,-8029.0,-6,2029,2,2,MFII_14_AND_CCI_20,LAYER_1,Fraksi_4
171,ADRO,134482.0,14240.0,10,10760,10,10,MFII_14_OR_CCI_20,LAYER_1,Fraksi_4
172,ADRO,126453.0,-8029.0,-6,2029,2,2,MFII_14_AND_SO_14,LAYER_1,Fraksi_4
173,ADRO,134482.0,14240.0,10,10760,10,10,MFII_14_OR_CCI_20,LAYER_1,Fraksi_4
174,ADRO,134482.0,20770.0,15,9730,9,9,BB_MAVG_20_AND_CCI_20,LAYER_1,Fraksi_4
175,ADRO,139500.0,-5801.0,-4,17301,16,16,BB_MAVG_20_OR_CCI_20,LAYER_1,Fraksi_4
176,ADRO,139500.0,33817.0,24,8683,8,8,BB_MAVG_20_AND_SO_14,LAYER_1,Fraksi_4
