,Ticker Code,Initial Capital,Total Capital Gain,Capital Gain Percentage,Transaction Fee,Number Purchased,Number Sold,Indicator,Stock Layer,Fraction
0,ANTM,89320.0,-11678.0,-13,678,1,1,MFII_14,LAYER_1,Fraksi_4
1,ANTM,96345.0,-31078.0,-32,7078,9,9,BB_MAVG_20,LAYER_1,Fraksi_4
2,ANTM,101865.0,-29664.0,-29,4664,6,6,CCI_20,LAYER_1,Fraksi_4
3,ANTM,99356.0,-17147.0,-17,3147,4,4,SO_14,LAYER_1,Fraksi_4
0,ANTM,89320.0,-11678.0,-13,678,1,1,MFII_14,LAYER_1,Fraksi_4
1,ANTM,96345.0,-31078.0,-32,7078,9,9,BB_MAVG_20,LAYER_1,Fraksi_4
2,ANTM,101865.0,-29664.0,-29,4664,6,6,CCI_20,LAYER_1,Fraksi_4
3,ANTM,99356.0,-17147.0,-17,3147,4,4,SO_14,LAYER_1,Fraksi_4
120,ANTM,89320.0,-11678.0,-13,678,1,1,MFII_14_AND_BB_MAVG_20,LAYER_1,Fraksi_4
121,ANTM,96345.0,-31078.0,-32,7078,9,9,MFII_14_OR_BB_MAVG_20,LAYER_1,Fraksi_4
122,ANTM,89320.0,6239.0,6,761,1,1,MFII_14_AND_CCI_20,LAYER_1,Fraksi_4
123,ANTM,101865.0,-29664.0,-29,4664,6,6,MFII_14_OR_CCI_20,LAYER_1,Fraksi_4
124,ANTM,89320.0,-11678.0,-13,678,1,1,MFII_14_AND_SO_14,LAYER_1,Fraksi_4
125,ANTM,101865.0,-29664.0,-29,4664,6,6,MFII_14_OR_CCI_20,LAYER_1,Fraksi_4
126,ANTM,101865.0,-36072.0,-35,3072,4,4,BB_MAVG_20_AND_CCI_20,LAYER_1,Fraksi_4
127,ANTM,96345.0,-34037.0,-35,9537,12,12,BB_MAVG_20_OR_CCI_20,LAYER_1,Fraksi_4
128,ANTM,99356.0,-17147.0,-17,3147,4,4,BB_MAVG_20_AND_SO_14,LAYER_1,Fraksi_4
129,ANTM,96345.0,-31078.0,-32,7078,9,9,BB_MAVG_20_OR_SO_14,LAYER_1,Fraksi_4
130,ANTM,99356.0,-28754.0,-28,2254,3,3,CCI_20_AND_SO_14,LAYER_1,Fraksi_4
131,ANTM,101865.0,-27514.0,-27,5514,7,7,CCI_20_OR_SO_14,LAYER_1,Fraksi_4
0,ANTM,89320.0,-11678.0,-13,678,1,1,MFII_14,LAYER_1,Fraksi_4
1,ANTM,96345.0,-31078.0,-32,7078,9,9,BB_MAVG_20,LAYER_1,Fraksi_4
2,ANTM,101865.0,-29664.0,-29,4664,6,6,CCI_20,LAYER_1,Fraksi_4
3,ANTM,99356.0,-17147.0,-17,3147,4,4,SO_14,LAYER_1,Fraksi_4
120,ANTM,89320.0,-11678.0,-13,678,1,1,MFII_14_AND_BB_MAVG_20,LAYER_1,Fraksi_4
121,ANTM,96345.0,-31078.0,-32,7078,9,9,MFII_14_OR_BB_MAVG_20,LAYER_1,Fraksi_4
122,ANTM,89320.0,6239.0,6,761,1,1,MFII_14_AND_CCI_20,LAYER_1,Fraksi_4
123,ANTM,101865.0,-29664.0,-29,4664,6,6,MFII_14_OR_CCI_20,LAYER_1,Fraksi_4
124,ANTM,89320.0,-11678.0,-13,678,1,1,MFII_14_AND_SO_14,LAYER_1,Fraksi_4
125,ANTM,101865.0,-29664.0,-29,4664,6,6,MFII_14_OR_CCI_20,LAYER_1,Fraksi_4
126,ANTM,101865.0,-36072.0,-35,3072,4,4,BB_MAVG_20_AND_CCI_20,LAYER_1,Fraksi_4
127,ANTM,96345.0,-34037.0,-35,9537,12,12,BB_MAVG_20_OR_CCI_20,LAYER_1,Fraksi_4
128,ANTM,99356.0,-17147.0,-17,3147,4,4,BB_MAVG_20_AND_SO_14,LAYER_1,Fraksi_4
129,ANTM,96345.0,-31078.0,-32,7078,9,9,BB_MAVG_20_OR_SO_14,LAYER_1,Fraksi_4
130,ANTM,99356.0,-28754.0,-28,2254,3,3,CCI_20_AND_SO_14,LAYER_1,Fraksi_4
131,ANTM,101865.0,-27514.0,-27,5514,7,7,CCI_20_OR_SO_14,LAYER_1,Fraksi_4
480,ANTM,89320.0,6239.0,6,761,1,1,MFII_14_AND_BB_MAVG_20_AND_CCI_20,LAYER_1,Fraksi_4
481,ANTM,96345.0,-34037.0,-35,9537,12,12,MFII_14_OR_BB_MAVG_20_OR_CCI_20,LAYER_1,Fraksi_4
482,ANTM,101865.0,-29664.0,-29,4664,6,6,MFII_14_AND_BB_MAVG_20_OR_CCI_20,LAYER_1,Fraksi_4
483,ANTM,101865.0,-36072.0,-35,3072,4,4,MFII_14_OR_BB_MAVG_20_AND_CCI_20,LAYER_1,Fraksi_4
484,ANTM,89320.0,-11678.0,-13,678,1,1,MFII_14_AND_BB_MAVG_20_AND_SO_14,LAYER_1,Fraksi_4
485,ANTM,96345.0,-31078.0,-32,7078,9,9,MFII_14_OR_BB_MAVG_20_OR_SO_14,LAYER_1,Fraksi_4
486,ANTM,99356.0,-17147.0,-17,3147,4,4,MFII_14_AND_BB_MAVG_20_OR_SO_14,LAYER_1,Fraksi_4
487,ANTM,99356.0,-17147.0,-17,3147,4,4,MFII_14_OR_BB_MAVG_20_AND_SO_14,LAYER_1,Fraksi_4
488,ANTM,89320.0,6239.0,6,761,1,1,MFII_14_AND_CCI_20_AND_SO_14,LAYER_1,Fraksi_4
489,ANTM,101865.0,-27514.0,-27,5514,7,7,MFII_14_OR_CCI_20_OR_SO_14,LAYER_1,Fraksi_4
490,ANTM,99356.0,-17147.0,-17,3147,4,4,MFII_14_AND_CCI_20_OR_SO_14,LAYER_1,Fraksi_4
491,ANTM,99356.0,-31242.0,-31,2242,3,3,MFII_14_OR_CCI_20_AND_SO_14,LAYER_1,Fraksi_4
492,ANTM,99356.0,-28754.0,-28,2254,3,3,BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_1,Fraksi_4
493,ANTM,96345.0,-34037.0,-35,9537,12,12,BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_1,Fraksi_4
494,ANTM,101865.0,-33424.0,-32,3924,5,5,BB_MAVG_20_AND_CCI_20_OR_SO_14,LAYER_1,Fraksi_4
495,ANTM,96345.0,-31078.0,-32,7078,9,9,BB_MAVG_20_OR_CCI_20_AND_SO_14,LAYER_1,Fraksi_4
0,ANTM,89320.0,-11678.0,-13,678,1,1,MFII_14,LAYER_1,Fraksi_4
1,ANTM,96345.0,-31078.0,-32,7078,9,9,BB_MAVG_20,LAYER_1,Fraksi_4
2,ANTM,101865.0,-29664.0,-29,4664,6,6,CCI_20,LAYER_1,Fraksi_4
3,ANTM,99356.0,-17147.0,-17,3147,4,4,SO_14,LAYER_1,Fraksi_4
120,ANTM,89320.0,-11678.0,-13,678,1,1,MFII_14_AND_BB_MAVG_20,LAYER_1,Fraksi_4
121,ANTM,96345.0,-31078.0,-32,7078,9,9,MFII_14_OR_BB_MAVG_20,LAYER_1,Fraksi_4
122,ANTM,89320.0,6239.0,6,761,1,1,MFII_14_AND_CCI_20,LAYER_1,Fraksi_4
123,ANTM,101865.0,-29664.0,-29,4664,6,6,MFII_14_OR_CCI_20,LAYER_1,Fraksi_4
124,ANTM,89320.0,-11678.0,-13,678,1,1,MFII_14_AND_SO_14,LAYER_1,Fraksi_4
