,Ticker Code,Initial Capital,Total Capital Gain,Capital Gain Percentage,Transaction Fee,Number Purchased,Number Sold,Indicator,Stock Layer,Fraction
28,ARNA,50180.0,139.0,0,1037,3,2,MFII_14,LAYER_2,Fraksi_3
29,ARNA,48172.0,785.0,1,8100,20,19,BB_MAVG_20,LAYER_2,Fraksi_3
30,ARNA,47570.0,82.0,0,8079,20,19,CCI_20,LAYER_2,Fraksi_3
31,ARNA,49577.0,7338.0,14,1445,4,3,SO_14,LAYER_2,Fraksi_3
84,ARNA,50180.0,3074.0,6,622,2,1,MFII_14_AND_BB_MAVG_20,LAYER_2,Fraksi_3
85,ARNA,48172.0,-5042.0,-10,10127,25,24,MFII_14_OR_BB_MAVG_20,LAYER_2,Fraksi_3
86,ARNA,50180.0,139.0,0,1037,3,2,MFII_14_AND_CCI_20,LAYER_2,Fraksi_3
87,ARNA,47570.0,1250.0,2,10211,25,24,MFII_14_OR_CCI_20,LAYER_2,Fraksi_3
88,ARNA,50180.0,3074.0,6,606,2,1,MFII_14_AND_SO_14,LAYER_2,Fraksi_3
89,ARNA,47570.0,1250.0,2,10211,25,24,MFII_14_OR_CCI_20,LAYER_2,Fraksi_3
90,ARNA,47570.0,-202.0,0,3485,9,8,BB_MAVG_20_AND_CCI_20,LAYER_2,Fraksi_3
91,ARNA,48172.0,-5546.0,-11,18207,44,43,BB_MAVG_20_OR_CCI_20,LAYER_2,Fraksi_3
92,ARNA,49577.0,4263.0,8,1017,3,2,BB_MAVG_20_AND_SO_14,LAYER_2,Fraksi_3
93,ARNA,48172.0,2554.0,5,9831,24,23,BB_MAVG_20_OR_SO_14,LAYER_2,Fraksi_3
94,ARNA,49577.0,4263.0,8,1020,3,2,CCI_20_AND_SO_14,LAYER_2,Fraksi_3
95,ARNA,47570.0,6231.0,13,8930,22,21,CCI_20_OR_SO_14,LAYER_2,Fraksi_3
112,ARNA,50180.0,3074.0,6,622,2,1,MFII_14_AND_BB_MAVG_20_AND_CCI_20,LAYER_2,Fraksi_3
113,ARNA,48172.0,-8901.0,-18,19462,47,46,MFII_14_OR_BB_MAVG_20_OR_CCI_20,LAYER_2,Fraksi_3
114,ARNA,47570.0,3284.0,6,9377,23,22,MFII_14_AND_BB_MAVG_20_OR_CCI_20,LAYER_2,Fraksi_3
115,ARNA,47570.0,-2782.0,-5,4765,12,11,MFII_14_OR_BB_MAVG_20_AND_CCI_20,LAYER_2,Fraksi_3
116,ARNA,50180.0,3074.0,6,606,2,1,MFII_14_AND_BB_MAVG_20_AND_SO_14,LAYER_2,Fraksi_3
117,ARNA,48172.0,-2614.0,-5,12699,31,30,MFII_14_OR_BB_MAVG_20_OR_SO_14,LAYER_2,Fraksi_3
118,ARNA,49577.0,48.0,0,2739,7,6,MFII_14_AND_BB_MAVG_20_OR_SO_14,LAYER_2,Fraksi_3
119,ARNA,49577.0,-1535.0,-3,2314,6,5,MFII_14_OR_BB_MAVG_20_AND_SO_14,LAYER_2,Fraksi_3
120,ARNA,50180.0,3074.0,6,609,2,1,MFII_14_AND_CCI_20_AND_SO_14,LAYER_2,Fraksi_3
121,ARNA,47570.0,1415.0,2,11046,27,26,MFII_14_OR_CCI_20_OR_SO_14,LAYER_2,Fraksi_3
122,ARNA,49577.0,2481.0,5,2298,6,5,MFII_14_AND_CCI_20_OR_SO_14,LAYER_2,Fraksi_3
123,ARNA,49577.0,2182.0,4,3597,9,8,MFII_14_OR_CCI_20_AND_SO_14,LAYER_2,Fraksi_3
124,ARNA,49577.0,4263.0,8,1020,3,2,BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_2,Fraksi_3
125,ARNA,48172.0,-5458.0,-11,18619,45,44,BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_2,Fraksi_3
126,ARNA,47570.0,4515.0,9,4768,12,11,BB_MAVG_20_AND_CCI_20_OR_SO_14,LAYER_2,Fraksi_3
127,ARNA,48172.0,2466.0,5,9419,23,22,BB_MAVG_20_OR_CCI_20_AND_SO_14,LAYER_2,Fraksi_3
42,ARNA,50180.0,3074.0,6,609,2,1,MFII_14_AND_BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_2,Fraksi_3
43,ARNA,48172.0,-7816.0,-16,19877,48,47,MFII_14_OR_BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_2,Fraksi_3
44,ARNA,49577.0,2907.0,5,1880,5,4,MFII_14_AND_BB_MAVG_20_AND_CCI_20_OR_SO_14,LAYER_2,Fraksi_3
45,ARNA,48172.0,-4285.0,-8,11870,29,28,MFII_14_OR_BB_MAVG_20_OR_CCI_20_AND_SO_14,LAYER_2,Fraksi_3
46,ARNA,49577.0,-1535.0,-3,2314,6,5,MFII_14_OR_BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_2,Fraksi_3
47,ARNA,47570.0,3372.0,7,9789,24,23,MFII_14_AND_BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_2,Fraksi_3
