,Ticker Code,Initial Capital,Total Capital Gain,Capital Gain Percentage,Transaction Fee,Number Purchased,Number Sold,Indicator,Stock Layer,Fraction
108,ASII,762736.0,8699.0,1,8785,2,1,MFII_14,LAYER_1,Fraksi_5
109,ASII,840515.0,-146337.0,-17,53837,9,9,BB_MAVG_20,LAYER_1,Fraksi_5
110,ASII,822952.0,-122965.0,-14,62965,11,11,CCI_20,LAYER_1,Fraksi_5
111,ASII,822952.0,-154891.0,-18,34891,6,6,SO_14,LAYER_1,Fraksi_5
324,ASII,762736.0,8699.0,1,8785,2,1,MFII_14_AND_BB_MAVG_20,LAYER_1,Fraksi_5
325,ASII,840515.0,-146337.0,-17,53837,9,9,MFII_14_OR_BB_MAVG_20,LAYER_1,Fraksi_5
326,ASII,762736.0,8699.0,1,8785,2,1,MFII_14_AND_CCI_20,LAYER_1,Fraksi_5
327,ASII,822952.0,-122965.0,-14,62965,11,11,MFII_14_OR_CCI_20,LAYER_1,Fraksi_5
328,ASII,762736.0,8699.0,1,8614,2,1,MFII_14_AND_SO_14,LAYER_1,Fraksi_5
329,ASII,822952.0,-122965.0,-14,62965,11,11,MFII_14_OR_CCI_20,LAYER_1,Fraksi_5
330,ASII,822952.0,-110554.0,-13,40554,7,7,BB_MAVG_20_AND_CCI_20,LAYER_1,Fraksi_5
331,ASII,840515.0,-183756.0,-21,76256,13,13,BB_MAVG_20_OR_CCI_20,LAYER_1,Fraksi_5
332,ASII,822952.0,-127518.0,-15,35018,6,6,BB_MAVG_20_AND_SO_14,LAYER_1,Fraksi_5
333,ASII,840515.0,-164150.0,-19,59150,10,10,BB_MAVG_20_OR_SO_14,LAYER_1,Fraksi_5
334,ASII,822952.0,-154891.0,-18,34891,6,6,CCI_20_AND_SO_14,LAYER_1,Fraksi_5
335,ASII,822952.0,-122965.0,-14,62965,11,11,CCI_20_OR_SO_14,LAYER_1,Fraksi_5
432,ASII,762736.0,8699.0,1,8785,2,1,MFII_14_AND_BB_MAVG_20_AND_CCI_20,LAYER_1,Fraksi_5
433,ASII,840515.0,-183756.0,-21,76256,13,13,MFII_14_OR_BB_MAVG_20_OR_CCI_20,LAYER_1,Fraksi_5
434,ASII,822952.0,-122965.0,-14,62965,11,11,MFII_14_AND_BB_MAVG_20_OR_CCI_20,LAYER_1,Fraksi_5
435,ASII,822952.0,-110554.0,-13,40554,7,7,MFII_14_OR_BB_MAVG_20_AND_CCI_20,LAYER_1,Fraksi_5
436,ASII,762736.0,8699.0,1,8614,2,1,MFII_14_AND_BB_MAVG_20_AND_SO_14,LAYER_1,Fraksi_5
437,ASII,840515.0,-164150.0,-19,59150,10,10,MFII_14_OR_BB_MAVG_20_OR_SO_14,LAYER_1,Fraksi_5
438,ASII,822952.0,-154891.0,-18,34891,6,6,MFII_14_AND_BB_MAVG_20_OR_SO_14,LAYER_1,Fraksi_5
439,ASII,822952.0,-127518.0,-15,35018,6,6,MFII_14_OR_BB_MAVG_20_AND_SO_14,LAYER_1,Fraksi_5
440,ASII,762736.0,8699.0,1,8614,2,1,MFII_14_AND_CCI_20_AND_SO_14,LAYER_1,Fraksi_5
441,ASII,822952.0,-122965.0,-14,62965,11,11,MFII_14_OR_CCI_20_OR_SO_14,LAYER_1,Fraksi_5
442,ASII,822952.0,-154891.0,-18,34891,6,6,MFII_14_AND_CCI_20_OR_SO_14,LAYER_1,Fraksi_5
443,ASII,822952.0,-154891.0,-18,34891,6,6,MFII_14_OR_CCI_20_AND_SO_14,LAYER_1,Fraksi_5
444,ASII,822952.0,-127518.0,-15,35018,6,6,BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_1,Fraksi_5
445,ASII,840515.0,-183756.0,-21,76256,13,13,BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_1,Fraksi_5
446,ASII,822952.0,-120840.0,-14,45840,8,8,BB_MAVG_20_AND_CCI_20_OR_SO_14,LAYER_1,Fraksi_5
447,ASII,840515.0,-164150.0,-19,59150,10,10,BB_MAVG_20_OR_CCI_20_AND_SO_14,LAYER_1,Fraksi_5
162,ASII,762736.0,8699.0,1,8614,2,1,MFII_14_AND_BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_1,Fraksi_5
163,ASII,840515.0,-183756.0,-21,76256,13,13,MFII_14_OR_BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_1,Fraksi_5
164,ASII,822952.0,-154891.0,-18,34891,6,6,MFII_14_AND_BB_MAVG_20_AND_CCI_20_OR_SO_14,LAYER_1,Fraksi_5
165,ASII,840515.0,-164150.0,-19,59150,10,10,MFII_14_OR_BB_MAVG_20_OR_CCI_20_AND_SO_14,LAYER_1,Fraksi_5
166,ASII,822952.0,-127518.0,-15,35018,6,6,MFII_14_OR_BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_1,Fraksi_5
167,ASII,822952.0,-122965.0,-14,62965,11,11,MFII_14_AND_BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_1,Fraksi_5
