,Ticker Code,Initial Capital,Total Capital Gain,Capital Gain Percentage,Transaction Fee,Number Purchased,Number Sold,Indicator,Stock Layer,Fraction
92,DOID,52689.0,-4013.0,-7,1013,3,3,MFII_14,LAYER_2,Fraksi_2
93,DOID,59714.0,-25140.0,-42,4440,12,11,BB_MAVG_20,LAYER_2,Fraksi_2
94,DOID,59714.0,-17383.0,-29,4783,12,12,CCI_20,LAYER_2,Fraksi_2
95,DOID,59212.0,-17894.0,-30,1394,4,4,SO_14,LAYER_2,Fraksi_2
276,DOID,52689.0,-12098.0,-22,598,2,2,MFII_14_AND_BB_MAVG_20,LAYER_2,Fraksi_2
277,DOID,59714.0,-25140.0,-42,4440,12,11,MFII_14_OR_BB_MAVG_20,LAYER_2,Fraksi_2
278,DOID,52689.0,-12098.0,-22,598,2,2,MFII_14_AND_CCI_20,LAYER_2,Fraksi_2
279,DOID,59714.0,-17383.0,-29,4783,12,12,MFII_14_OR_CCI_20,LAYER_2,Fraksi_2
280,DOID,52689.0,-13669.0,-25,466,2,1,MFII_14_AND_SO_14,LAYER_2,Fraksi_2
281,DOID,59714.0,-17383.0,-29,4783,12,12,MFII_14_OR_CCI_20,LAYER_2,Fraksi_2
282,DOID,59714.0,-24242.0,-40,2942,8,8,BB_MAVG_20_AND_CCI_20,LAYER_2,Fraksi_2
283,DOID,59714.0,-22687.0,-37,7687,19,18,BB_MAVG_20_OR_CCI_20,LAYER_2,Fraksi_2
284,DOID,59212.0,-19625.0,-33,1125,3,3,BB_MAVG_20_AND_SO_14,LAYER_2,Fraksi_2
285,DOID,59714.0,-23746.0,-39,4446,12,11,BB_MAVG_20_OR_SO_14,LAYER_2,Fraksi_2
286,DOID,59212.0,-23922.0,-40,922,3,3,CCI_20_AND_SO_14,LAYER_2,Fraksi_2
287,DOID,59714.0,-17383.0,-29,4783,12,12,CCI_20_OR_SO_14,LAYER_2,Fraksi_2
368,DOID,52689.0,-12098.0,-22,598,2,2,MFII_14_AND_BB_MAVG_20_AND_CCI_20,LAYER_2,Fraksi_2
369,DOID,59714.0,-22687.0,-37,7687,19,18,MFII_14_OR_BB_MAVG_20_OR_CCI_20,LAYER_2,Fraksi_2
370,DOID,59714.0,-17383.0,-29,4783,12,12,MFII_14_AND_BB_MAVG_20_OR_CCI_20,LAYER_2,Fraksi_2
371,DOID,59714.0,-24242.0,-40,2942,8,8,MFII_14_OR_BB_MAVG_20_AND_CCI_20,LAYER_2,Fraksi_2
372,DOID,52689.0,-13669.0,-25,466,2,1,MFII_14_AND_BB_MAVG_20_AND_SO_14,LAYER_2,Fraksi_2
373,DOID,59714.0,-23746.0,-39,4446,12,11,MFII_14_OR_BB_MAVG_20_OR_SO_14,LAYER_2,Fraksi_2
374,DOID,59212.0,-18951.0,-32,1651,5,5,MFII_14_AND_BB_MAVG_20_OR_SO_14,LAYER_2,Fraksi_2
375,DOID,59212.0,-15382.0,-25,2082,6,6,MFII_14_OR_BB_MAVG_20_AND_SO_14,LAYER_2,Fraksi_2
376,DOID,52689.0,-13669.0,-25,466,2,1,MFII_14_AND_CCI_20_AND_SO_14,LAYER_2,Fraksi_2
377,DOID,59714.0,-17383.0,-29,4783,12,12,MFII_14_OR_CCI_20_OR_SO_14,LAYER_2,Fraksi_2
378,DOID,59212.0,-18951.0,-32,1651,5,5,MFII_14_AND_CCI_20_OR_SO_14,LAYER_2,Fraksi_2
379,DOID,59212.0,-14872.0,-25,2072,6,6,MFII_14_OR_CCI_20_AND_SO_14,LAYER_2,Fraksi_2
380,DOID,59212.0,-25653.0,-43,653,2,2,BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_2,Fraksi_2
381,DOID,59714.0,-22687.0,-37,7687,19,18,BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_2,Fraksi_2
382,DOID,59714.0,-22848.0,-38,2948,8,8,BB_MAVG_20_AND_CCI_20_OR_SO_14,LAYER_2,Fraksi_2
383,DOID,59714.0,-23746.0,-39,4446,12,11,BB_MAVG_20_OR_CCI_20_AND_SO_14,LAYER_2,Fraksi_2
138,DOID,52689.0,-13669.0,-25,466,2,1,MFII_14_AND_BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_2,Fraksi_2
139,DOID,59714.0,-22687.0,-37,7687,19,18,MFII_14_OR_BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_2,Fraksi_2
140,DOID,59212.0,-18951.0,-32,1651,5,5,MFII_14_AND_BB_MAVG_20_AND_CCI_20_OR_SO_14,LAYER_2,Fraksi_2
141,DOID,59714.0,-23746.0,-39,4446,12,11,MFII_14_OR_BB_MAVG_20_OR_CCI_20_AND_SO_14,LAYER_2,Fraksi_2
142,DOID,59212.0,-14872.0,-25,2072,6,6,MFII_14_OR_BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_2,Fraksi_2
143,DOID,59714.0,-17383.0,-29,4783,12,12,MFII_14_AND_BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_2,Fraksi_2
