,Ticker Code,Initial Capital,Total Capital Gain,Capital Gain Percentage,Transaction Fee,Number Purchased,Number Sold,Indicator,Stock Layer,Fraction
56,EXCL,327173.0,0.0,0,1173,1,0,MFII_14,LAYER_1,Fraksi_4
57,EXCL,213766.0,155514.0,72,60742,24,23,BB_MAVG_20,LAYER_1,Fraksi_4
58,EXCL,213766.0,72935.0,34,41285,17,16,CCI_20,LAYER_1,Fraksi_4
59,EXCL,213766.0,148088.0,69,12100,6,5,SO_14,LAYER_1,Fraksi_4
56,EXCL,327173.0,0.0,0,1173,1,0,MFII_14,LAYER_1,Fraksi_4
57,EXCL,213766.0,155514.0,72,60742,24,23,BB_MAVG_20,LAYER_1,Fraksi_4
58,EXCL,213766.0,72935.0,34,41285,17,16,CCI_20,LAYER_1,Fraksi_4
59,EXCL,213766.0,148088.0,69,12100,6,5,SO_14,LAYER_1,Fraksi_4
288,EXCL,327173.0,0.0,0,1173,1,0,MFII_14_AND_BB_MAVG_20,LAYER_1,Fraksi_4
289,EXCL,213766.0,155514.0,72,60742,24,23,MFII_14_OR_BB_MAVG_20,LAYER_1,Fraksi_4
290,EXCL,327173.0,0.0,0,1173,1,0,MFII_14_AND_CCI_20,LAYER_1,Fraksi_4
291,EXCL,213766.0,72935.0,34,41285,17,16,MFII_14_OR_CCI_20,LAYER_1,Fraksi_4
292,EXCL,0.0,0.0,0,0,0,0,MFII_14_AND_SO_14,LAYER_1,Fraksi_4
293,EXCL,213766.0,72935.0,34,41285,17,16,MFII_14_OR_CCI_20,LAYER_1,Fraksi_4
294,EXCL,213766.0,168416.0,78,33804,14,13,BB_MAVG_20_AND_CCI_20,LAYER_1,Fraksi_4
295,EXCL,213766.0,62250.0,29,79006,31,30,BB_MAVG_20_OR_CCI_20,LAYER_1,Fraksi_4
296,EXCL,213766.0,148088.0,69,12100,6,5,BB_MAVG_20_AND_SO_14,LAYER_1,Fraksi_4
297,EXCL,213766.0,155514.0,72,60742,24,23,BB_MAVG_20_OR_SO_14,LAYER_1,Fraksi_4
298,EXCL,213766.0,127291.0,59,9868,5,4,CCI_20_AND_SO_14,LAYER_1,Fraksi_4
299,EXCL,213766.0,88992.0,41,41228,17,16,CCI_20_OR_SO_14,LAYER_1,Fraksi_4
56,EXCL,327173.0,0.0,0,1173,1,0,MFII_14,LAYER_1,Fraksi_4
57,EXCL,213766.0,155514.0,72,60742,24,23,BB_MAVG_20,LAYER_1,Fraksi_4
58,EXCL,213766.0,72935.0,34,41285,17,16,CCI_20,LAYER_1,Fraksi_4
59,EXCL,213766.0,148088.0,69,12100,6,5,SO_14,LAYER_1,Fraksi_4
288,EXCL,327173.0,0.0,0,1173,1,0,MFII_14_AND_BB_MAVG_20,LAYER_1,Fraksi_4
289,EXCL,213766.0,155514.0,72,60742,24,23,MFII_14_OR_BB_MAVG_20,LAYER_1,Fraksi_4
290,EXCL,327173.0,0.0,0,1173,1,0,MFII_14_AND_CCI_20,LAYER_1,Fraksi_4
291,EXCL,213766.0,72935.0,34,41285,17,16,MFII_14_OR_CCI_20,LAYER_1,Fraksi_4
292,EXCL,0.0,0.0,0,0,0,0,MFII_14_AND_SO_14,LAYER_1,Fraksi_4
293,EXCL,213766.0,72935.0,34,41285,17,16,MFII_14_OR_CCI_20,LAYER_1,Fraksi_4
294,EXCL,213766.0,168416.0,78,33804,14,13,BB_MAVG_20_AND_CCI_20,LAYER_1,Fraksi_4
295,EXCL,213766.0,62250.0,29,79006,31,30,BB_MAVG_20_OR_CCI_20,LAYER_1,Fraksi_4
296,EXCL,213766.0,148088.0,69,12100,6,5,BB_MAVG_20_AND_SO_14,LAYER_1,Fraksi_4
297,EXCL,213766.0,155514.0,72,60742,24,23,BB_MAVG_20_OR_SO_14,LAYER_1,Fraksi_4
298,EXCL,213766.0,127291.0,59,9868,5,4,CCI_20_AND_SO_14,LAYER_1,Fraksi_4
299,EXCL,213766.0,88992.0,41,41228,17,16,CCI_20_OR_SO_14,LAYER_1,Fraksi_4
704,EXCL,327173.0,0.0,0,1173,1,0,MFII_14_AND_BB_MAVG_20_AND_CCI_20,LAYER_1,Fraksi_4
705,EXCL,213766.0,62250.0,29,79006,31,30,MFII_14_OR_BB_MAVG_20_OR_CCI_20,LAYER_1,Fraksi_4
706,EXCL,213766.0,72935.0,34,41285,17,16,MFII_14_AND_BB_MAVG_20_OR_CCI_20,LAYER_1,Fraksi_4
707,EXCL,213766.0,156472.0,73,33748,14,13,MFII_14_OR_BB_MAVG_20_AND_CCI_20,LAYER_1,Fraksi_4
708,EXCL,0.0,0.0,0,0,0,0,MFII_14_AND_BB_MAVG_20_AND_SO_14,LAYER_1,Fraksi_4
709,EXCL,213766.0,155514.0,72,60742,24,23,MFII_14_OR_BB_MAVG_20_OR_SO_14,LAYER_1,Fraksi_4
710,EXCL,213766.0,148088.0,69,12100,6,5,MFII_14_AND_BB_MAVG_20_OR_SO_14,LAYER_1,Fraksi_4
711,EXCL,213766.0,148088.0,69,12100,6,5,MFII_14_OR_BB_MAVG_20_AND_SO_14,LAYER_1,Fraksi_4
712,EXCL,0.0,0.0,0,0,0,0,MFII_14_AND_CCI_20_AND_SO_14,LAYER_1,Fraksi_4
713,EXCL,213766.0,88992.0,41,41228,17,16,MFII_14_OR_CCI_20_OR_SO_14,LAYER_1,Fraksi_4
714,EXCL,213766.0,148088.0,69,12100,6,5,MFII_14_AND_CCI_20_OR_SO_14,LAYER_1,Fraksi_4
715,EXCL,213766.0,115347.0,53,9826,5,4,MFII_14_OR_CCI_20_AND_SO_14,LAYER_1,Fraksi_4
716,EXCL,213766.0,127291.0,59,9868,5,4,BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_1,Fraksi_4
717,EXCL,213766.0,62250.0,29,79006,31,30,BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_1,Fraksi_4
718,EXCL,213766.0,157468.0,73,33752,14,13,BB_MAVG_20_AND_CCI_20_OR_SO_14,LAYER_1,Fraksi_4
719,EXCL,213766.0,155514.0,72,60742,24,23,BB_MAVG_20_OR_CCI_20_AND_SO_14,LAYER_1,Fraksi_4
56,EXCL,327173.0,0.0,0,1173,1,0,MFII_14,LAYER_1,Fraksi_4
57,EXCL,213766.0,155514.0,72,60742,24,23,BB_MAVG_20,LAYER_1,Fraksi_4
58,EXCL,213766.0,72935.0,34,41285,17,16,CCI_20,LAYER_1,Fraksi_4
59,EXCL,213766.0,148088.0,69,12100,6,5,SO_14,LAYER_1,Fraksi_4
288,EXCL,327173.0,0.0,0,1173,1,0,MFII_14_AND_BB_MAVG_20,LAYER_1,Fraksi_4
289,EXCL,213766.0,155514.0,72,60742,24,23,MFII_14_OR_BB_MAVG_20,LAYER_1,Fraksi_4
290,EXCL,327173.0,0.0,0,1173,1,0,MFII_14_AND_CCI_20,LAYER_1,Fraksi_4
291,EXCL,213766.0,72935.0,34,41285,17,16,MFII_14_OR_CCI_20,LAYER_1,Fraksi_4
292,EXCL,0.0,0.0,0,0,0,0,MFII_14_AND_SO_14,LAYER_1,Fraksi_4
293,EXCL,213766.0,72935.0,34,41285,17,16,MFII_14_OR_CCI_20,LAYER_1,Fraksi_4
