,Ticker Code,Initial Capital,Total Capital Gain,Capital Gain Percentage,Transaction Fee,Number Purchased,Number Sold,Indicator,Stock Layer,Fraction
48,LTLS,65234.0,3449.0,5,790,2,1,MFII_14,LAYER_2,Fraksi_3
49,LTLS,57707.0,3031.0,5,12688,25,24,BB_MAVG_20,LAYER_2,Fraksi_3
50,LTLS,57707.0,-9356.0,-16,12575,25,24,CCI_20,LAYER_2,Fraksi_3
51,LTLS,57707.0,2942.0,5,2277,5,4,SO_14,LAYER_2,Fraksi_3
144,LTLS,65234.0,3449.0,5,790,2,1,MFII_14_AND_BB_MAVG_20,LAYER_2,Fraksi_3
145,LTLS,57707.0,-1040.0,-1,13759,27,26,MFII_14_OR_BB_MAVG_20,LAYER_2,Fraksi_3
146,LTLS,65234.0,3449.0,5,790,2,1,MFII_14_AND_CCI_20,LAYER_2,Fraksi_3
147,LTLS,57707.0,-10939.0,-18,13658,27,26,MFII_14_OR_CCI_20,LAYER_2,Fraksi_3
148,LTLS,0.0,0.0,0,0,0,0,MFII_14_AND_SO_14,LAYER_2,Fraksi_3
149,LTLS,57707.0,-10939.0,-18,13658,27,26,MFII_14_OR_CCI_20,LAYER_2,Fraksi_3
150,LTLS,57707.0,4653.0,8,8566,17,16,BB_MAVG_20_AND_CCI_20,LAYER_2,Fraksi_3
151,LTLS,57707.0,-15883.0,-27,25102,49,48,BB_MAVG_20_OR_CCI_20,LAYER_2,Fraksi_3
152,LTLS,60717.0,5404.0,8,1815,4,3,BB_MAVG_20_AND_SO_14,LAYER_2,Fraksi_3
153,LTLS,57707.0,922.0,1,16797,33,32,BB_MAVG_20_OR_SO_14,LAYER_2,Fraksi_3
154,LTLS,60717.0,4409.0,7,1810,4,3,CCI_20_AND_SO_14,LAYER_2,Fraksi_3
155,LTLS,57707.0,-7900.0,-13,14119,28,27,CCI_20_OR_SO_14,LAYER_2,Fraksi_3
192,LTLS,65234.0,3449.0,5,790,2,1,MFII_14_AND_BB_MAVG_20_AND_CCI_20,LAYER_2,Fraksi_3
193,LTLS,57707.0,-18414.0,-31,25633,50,49,MFII_14_OR_BB_MAVG_20_OR_CCI_20,LAYER_2,Fraksi_3
194,LTLS,57707.0,-9403.0,-16,13122,26,25,MFII_14_AND_BB_MAVG_20_OR_CCI_20,LAYER_2,Fraksi_3
195,LTLS,57707.0,1111.0,1,9608,19,18,MFII_14_OR_BB_MAVG_20_AND_CCI_20,LAYER_2,Fraksi_3
196,LTLS,0.0,0.0,0,0,0,0,MFII_14_AND_BB_MAVG_20_AND_SO_14,LAYER_2,Fraksi_3
197,LTLS,57707.0,-3149.0,-5,17868,35,34,MFII_14_OR_BB_MAVG_20_OR_SO_14,LAYER_2,Fraksi_3
198,LTLS,57707.0,-717.0,-1,4436,9,8,MFII_14_AND_BB_MAVG_20_OR_SO_14,LAYER_2,Fraksi_3
199,LTLS,60717.0,1788.0,2,3431,7,6,MFII_14_OR_BB_MAVG_20_AND_SO_14,LAYER_2,Fraksi_3
200,LTLS,0.0,0.0,0,0,0,0,MFII_14_AND_CCI_20_AND_SO_14,LAYER_2,Fraksi_3
201,LTLS,57707.0,-9483.0,-16,15202,30,29,MFII_14_OR_CCI_20_OR_SO_14,LAYER_2,Fraksi_3
202,LTLS,57707.0,1274.0,2,4445,9,8,MFII_14_AND_CCI_20_OR_SO_14,LAYER_2,Fraksi_3
203,LTLS,60717.0,-1743.0,-2,3962,8,7,MFII_14_OR_CCI_20_AND_SO_14,LAYER_2,Fraksi_3
204,LTLS,60717.0,8889.0,14,1830,4,3,BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_2,Fraksi_3
205,LTLS,57707.0,-16910.0,-29,26129,51,50,BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_2,Fraksi_3
206,LTLS,57707.0,2569.0,4,12150,24,23,BB_MAVG_20_AND_CCI_20_OR_SO_14,LAYER_2,Fraksi_3
207,LTLS,57707.0,1949.0,3,15770,31,30,BB_MAVG_20_OR_CCI_20_AND_SO_14,LAYER_2,Fraksi_3
72,LTLS,0.0,0.0,0,0,0,0,MFII_14_AND_BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_2,Fraksi_3
73,LTLS,57707.0,-19441.0,-33,26660,52,51,MFII_14_OR_BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_2,Fraksi_3
74,LTLS,57707.0,1274.0,2,4445,9,8,MFII_14_AND_BB_MAVG_20_AND_CCI_20_OR_SO_14,LAYER_2,Fraksi_3
75,LTLS,57707.0,-2122.0,-3,16841,33,32,MFII_14_OR_BB_MAVG_20_OR_CCI_20_AND_SO_14,LAYER_2,Fraksi_3
76,LTLS,60717.0,1788.0,2,3431,7,6,MFII_14_OR_BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_2,Fraksi_3
77,LTLS,57707.0,-7947.0,-13,14666,29,28,MFII_14_AND_BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_2,Fraksi_3
