,Ticker Code,Initial Capital,Total Capital Gain,Capital Gain Percentage,Transaction Fee,Number Purchased,Number Sold,Indicator,Stock Layer,Fraction
100,MPMX,80789.0,-11111.0,-13,854,2,1,MFII_14,LAYER_2,Fraksi_3
101,MPMX,91327.0,-18495.0,-20,8732,12,11,BB_MAVG_20,LAYER_2,Fraksi_3
102,MPMX,105879.0,-1805.0,-1,4805,7,7,CCI_20,LAYER_2,Fraksi_3
103,MPMX,90324.0,-35006.0,-38,3258,5,4,SO_14,LAYER_2,Fraksi_3
100,MPMX,80789.0,-11111.0,-13,854,2,1,MFII_14,LAYER_2,Fraksi_3
101,MPMX,91327.0,-18495.0,-20,8732,12,11,BB_MAVG_20,LAYER_2,Fraksi_3
102,MPMX,105879.0,-1805.0,-1,4805,7,7,CCI_20,LAYER_2,Fraksi_3
103,MPMX,90324.0,-35006.0,-38,3258,5,4,SO_14,LAYER_2,Fraksi_3
420,MPMX,80789.0,0.0,0,289,1,0,MFII_14_AND_BB_MAVG_20,LAYER_2,Fraksi_3
421,MPMX,91327.0,-16909.0,-18,10146,14,13,MFII_14_OR_BB_MAVG_20,LAYER_2,Fraksi_3
422,MPMX,80789.0,-11111.0,-13,854,2,1,MFII_14_AND_CCI_20,LAYER_2,Fraksi_3
423,MPMX,105879.0,-6284.0,-5,4784,7,7,MFII_14_OR_CCI_20,LAYER_2,Fraksi_3
424,MPMX,80789.0,0.0,0,289,1,0,MFII_14_AND_SO_14,LAYER_2,Fraksi_3
425,MPMX,105879.0,-6284.0,-5,4784,7,7,MFII_14_OR_CCI_20,LAYER_2,Fraksi_3
426,MPMX,105879.0,7259.0,6,3978,6,5,BB_MAVG_20_AND_CCI_20,LAYER_2,Fraksi_3
427,MPMX,91327.0,-27038.0,-29,11777,16,15,BB_MAVG_20_OR_CCI_20,LAYER_2,Fraksi_3
428,MPMX,105879.0,7597.0,7,1338,2,1,BB_MAVG_20_AND_SO_14,LAYER_2,Fraksi_3
429,MPMX,90324.0,-20295.0,-22,10032,14,13,BB_MAVG_20_OR_SO_14,LAYER_2,Fraksi_3
430,MPMX,105879.0,-36757.0,-34,2509,4,3,CCI_20_AND_SO_14,LAYER_2,Fraksi_3
431,MPMX,90324.0,-24709.0,-27,6209,9,9,CCI_20_OR_SO_14,LAYER_2,Fraksi_3
100,MPMX,80789.0,-11111.0,-13,854,2,1,MFII_14,LAYER_2,Fraksi_3
101,MPMX,91327.0,-18495.0,-20,8732,12,11,BB_MAVG_20,LAYER_2,Fraksi_3
102,MPMX,105879.0,-1805.0,-1,4805,7,7,CCI_20,LAYER_2,Fraksi_3
103,MPMX,90324.0,-35006.0,-38,3258,5,4,SO_14,LAYER_2,Fraksi_3
420,MPMX,80789.0,0.0,0,289,1,0,MFII_14_AND_BB_MAVG_20,LAYER_2,Fraksi_3
421,MPMX,91327.0,-16909.0,-18,10146,14,13,MFII_14_OR_BB_MAVG_20,LAYER_2,Fraksi_3
422,MPMX,80789.0,-11111.0,-13,854,2,1,MFII_14_AND_CCI_20,LAYER_2,Fraksi_3
423,MPMX,105879.0,-6284.0,-5,4784,7,7,MFII_14_OR_CCI_20,LAYER_2,Fraksi_3
424,MPMX,80789.0,0.0,0,289,1,0,MFII_14_AND_SO_14,LAYER_2,Fraksi_3
425,MPMX,105879.0,-6284.0,-5,4784,7,7,MFII_14_OR_CCI_20,LAYER_2,Fraksi_3
426,MPMX,105879.0,7259.0,6,3978,6,5,BB_MAVG_20_AND_CCI_20,LAYER_2,Fraksi_3
427,MPMX,91327.0,-27038.0,-29,11777,16,15,BB_MAVG_20_OR_CCI_20,LAYER_2,Fraksi_3
428,MPMX,105879.0,7597.0,7,1338,2,1,BB_MAVG_20_AND_SO_14,LAYER_2,Fraksi_3
429,MPMX,90324.0,-20295.0,-22,10032,14,13,BB_MAVG_20_OR_SO_14,LAYER_2,Fraksi_3
430,MPMX,105879.0,-36757.0,-34,2509,4,3,CCI_20_AND_SO_14,LAYER_2,Fraksi_3
431,MPMX,90324.0,-24709.0,-27,6209,9,9,CCI_20_OR_SO_14,LAYER_2,Fraksi_3
880,MPMX,80789.0,0.0,0,289,1,0,MFII_14_AND_BB_MAVG_20_AND_CCI_20,LAYER_2,Fraksi_3
881,MPMX,91327.0,-25452.0,-27,13191,18,17,MFII_14_OR_BB_MAVG_20_OR_CCI_20,LAYER_2,Fraksi_3
882,MPMX,105879.0,-1805.0,-1,4805,7,7,MFII_14_AND_BB_MAVG_20_OR_CCI_20,LAYER_2,Fraksi_3
883,MPMX,105879.0,6201.0,5,4536,7,6,MFII_14_OR_BB_MAVG_20_AND_CCI_20,LAYER_2,Fraksi_3
884,MPMX,80789.0,0.0,0,289,1,0,MFII_14_AND_BB_MAVG_20_AND_SO_14,LAYER_2,Fraksi_3
885,MPMX,90324.0,-18709.0,-20,11446,16,15,MFII_14_OR_BB_MAVG_20_OR_SO_14,LAYER_2,Fraksi_3
886,MPMX,90324.0,-8525.0,-9,4277,6,5,MFII_14_AND_BB_MAVG_20_OR_SO_14,LAYER_2,Fraksi_3
887,MPMX,105879.0,-17679.0,-16,2925,4,3,MFII_14_OR_BB_MAVG_20_AND_SO_14,LAYER_2,Fraksi_3
888,MPMX,80789.0,0.0,0,289,1,0,MFII_14_AND_CCI_20_AND_SO_14,LAYER_2,Fraksi_3
889,MPMX,90324.0,-29188.0,-32,6188,9,9,MFII_14_OR_CCI_20_OR_SO_14,LAYER_2,Fraksi_3
890,MPMX,90324.0,-5042.0,-5,4294,6,5,MFII_14_AND_CCI_20_OR_SO_14,LAYER_2,Fraksi_3
891,MPMX,105879.0,14312.0,13,3440,5,4,MFII_14_OR_CCI_20_AND_SO_14,LAYER_2,Fraksi_3
892,MPMX,105879.0,7597.0,7,1338,2,1,BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_2,Fraksi_3
893,MPMX,90324.0,-25354.0,-28,13093,18,17,BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_2,Fraksi_3
894,MPMX,90324.0,-19129.0,-21,5366,8,7,BB_MAVG_20_AND_CCI_20_OR_SO_14,LAYER_2,Fraksi_3
895,MPMX,91327.0,-21979.0,-24,8716,12,11,BB_MAVG_20_OR_CCI_20_AND_SO_14,LAYER_2,Fraksi_3
100,MPMX,80789.0,-11111.0,-13,854,2,1,MFII_14,LAYER_2,Fraksi_3
101,MPMX,91327.0,-18495.0,-20,8732,12,11,BB_MAVG_20,LAYER_2,Fraksi_3
102,MPMX,105879.0,-1805.0,-1,4805,7,7,CCI_20,LAYER_2,Fraksi_3
103,MPMX,90324.0,-35006.0,-38,3258,5,4,SO_14,LAYER_2,Fraksi_3
420,MPMX,80789.0,0.0,0,289,1,0,MFII_14_AND_BB_MAVG_20,LAYER_2,Fraksi_3
421,MPMX,91327.0,-16909.0,-18,10146,14,13,MFII_14_OR_BB_MAVG_20,LAYER_2,Fraksi_3
422,MPMX,80789.0,-11111.0,-13,854,2,1,MFII_14_AND_CCI_20,LAYER_2,Fraksi_3
423,MPMX,105879.0,-6284.0,-5,4784,7,7,MFII_14_OR_CCI_20,LAYER_2,Fraksi_3
424,MPMX,80789.0,0.0,0,289,1,0,MFII_14_AND_SO_14,LAYER_2,Fraksi_3
425,MPMX,105879.0,-6284.0,-5,4784,7,7,MFII_14_OR_CCI_20,LAYER_2,Fraksi_3
426,MPMX,105879.0,7259.0,6,3978,6,5,BB_MAVG_20_AND_CCI_20,LAYER_2,Fraksi_3
427,MPMX,91327.0,-27038.0,-29,11777,16,15,BB_MAVG_20_OR_CCI_20,LAYER_2,Fraksi_3
428,MPMX,105879.0,7597.0,7,1338,2,1,BB_MAVG_20_AND_SO_14,LAYER_2,Fraksi_3
429,MPMX,90324.0,-20295.0,-22,10032,14,13,BB_MAVG_20_OR_SO_14,LAYER_2,Fraksi_3
430,MPMX,105879.0,-36757.0,-34,2509,4,3,CCI_20_AND_SO_14,LAYER_2,Fraksi_3
431,MPMX,90324.0,-24709.0,-27,6209,9,9,CCI_20_OR_SO_14,LAYER_2,Fraksi_3
880,MPMX,80789.0,0.0,0,289,1,0,MFII_14_AND_BB_MAVG_20_AND_CCI_20,LAYER_2,Fraksi_3
881,MPMX,91327.0,-25452.0,-27,13191,18,17,MFII_14_OR_BB_MAVG_20_OR_CCI_20,LAYER_2,Fraksi_3
882,MPMX,105879.0,-1805.0,-1,4805,7,7,MFII_14_AND_BB_MAVG_20_OR_CCI_20,LAYER_2,Fraksi_3
883,MPMX,105879.0,6201.0,5,4536,7,6,MFII_14_OR_BB_MAVG_20_AND_CCI_20,LAYER_2,Fraksi_3
884,MPMX,80789.0,0.0,0,289,1,0,MFII_14_AND_BB_MAVG_20_AND_SO_14,LAYER_2,Fraksi_3
