,Ticker Code,Initial Capital,Total Capital Gain,Capital Gain Percentage,Transaction Fee,Number Purchased,Number Sold,Indicator,Stock Layer,Fraction
88,PTBA,399432.0,-94839.0,-23,3883,2,1,MFII_14,LAYER_1,Fraksi_4
89,PTBA,436566.0,-94131.0,-21,31131,13,13,BB_MAVG_20,LAYER_1,Fraksi_4
90,PTBA,431548.0,-110803.0,-25,28803,12,12,CCI_20,LAYER_1,Fraksi_4
91,PTBA,431548.0,-113254.0,-26,20254,8,8,SO_14,LAYER_1,Fraksi_4
264,PTBA,399432.0,-94839.0,-23,3883,2,1,MFII_14_AND_BB_MAVG_20,LAYER_1,Fraksi_4
265,PTBA,436566.0,-94131.0,-21,31131,13,13,MFII_14_OR_BB_MAVG_20,LAYER_1,Fraksi_4
266,PTBA,399432.0,-94839.0,-23,3883,2,1,MFII_14_AND_CCI_20,LAYER_1,Fraksi_4
267,PTBA,431548.0,-110803.0,-25,28803,12,12,MFII_14_OR_CCI_20,LAYER_1,Fraksi_4
268,PTBA,399432.0,-94839.0,-23,3843,2,1,MFII_14_AND_SO_14,LAYER_1,Fraksi_4
269,PTBA,431548.0,-110803.0,-25,28803,12,12,MFII_14_OR_CCI_20,LAYER_1,Fraksi_4
270,PTBA,431548.0,-97531.0,-22,23531,10,10,BB_MAVG_20_AND_CCI_20,LAYER_1,Fraksi_4
271,PTBA,436566.0,-99059.0,-22,42059,17,17,BB_MAVG_20_OR_CCI_20,LAYER_1,Fraksi_4
272,PTBA,431548.0,-129514.0,-30,14514,6,6,BB_MAVG_20_AND_SO_14,LAYER_1,Fraksi_4
273,PTBA,436566.0,-89470.0,-20,34470,14,14,BB_MAVG_20_OR_SO_14,LAYER_1,Fraksi_4
274,PTBA,431548.0,-123166.0,-28,18166,7,7,CCI_20_AND_SO_14,LAYER_1,Fraksi_4
275,PTBA,431548.0,-112810.0,-26,28810,12,12,CCI_20_OR_SO_14,LAYER_1,Fraksi_4
352,PTBA,399432.0,-94839.0,-23,3883,2,1,MFII_14_AND_BB_MAVG_20_AND_CCI_20,LAYER_1,Fraksi_4
353,PTBA,436566.0,-99059.0,-22,42059,17,17,MFII_14_OR_BB_MAVG_20_OR_CCI_20,LAYER_1,Fraksi_4
354,PTBA,431548.0,-110803.0,-25,28803,12,12,MFII_14_AND_BB_MAVG_20_OR_CCI_20,LAYER_1,Fraksi_4
355,PTBA,431548.0,-97531.0,-22,23531,10,10,MFII_14_OR_BB_MAVG_20_AND_CCI_20,LAYER_1,Fraksi_4
356,PTBA,399432.0,-94839.0,-23,3843,2,1,MFII_14_AND_BB_MAVG_20_AND_SO_14,LAYER_1,Fraksi_4
357,PTBA,436566.0,-89470.0,-20,34470,14,14,MFII_14_OR_BB_MAVG_20_OR_SO_14,LAYER_1,Fraksi_4
358,PTBA,431548.0,-113254.0,-26,20254,8,8,MFII_14_AND_BB_MAVG_20_OR_SO_14,LAYER_1,Fraksi_4
359,PTBA,431548.0,-129514.0,-30,14514,6,6,MFII_14_OR_BB_MAVG_20_AND_SO_14,LAYER_1,Fraksi_4
360,PTBA,399432.0,-94839.0,-23,3843,2,1,MFII_14_AND_CCI_20_AND_SO_14,LAYER_1,Fraksi_4
361,PTBA,431548.0,-112810.0,-26,28810,12,12,MFII_14_OR_CCI_20_OR_SO_14,LAYER_1,Fraksi_4
362,PTBA,431548.0,-113254.0,-26,20254,8,8,MFII_14_AND_CCI_20_OR_SO_14,LAYER_1,Fraksi_4
363,PTBA,431548.0,-123166.0,-28,18166,7,7,MFII_14_OR_CCI_20_AND_SO_14,LAYER_1,Fraksi_4
364,PTBA,431548.0,-139426.0,-32,12426,5,5,BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_1,Fraksi_4
365,PTBA,436566.0,-99059.0,-22,42059,17,17,BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_1,Fraksi_4
366,PTBA,431548.0,-91883.0,-21,26883,11,11,BB_MAVG_20_AND_CCI_20_OR_SO_14,LAYER_1,Fraksi_4
367,PTBA,436566.0,-89470.0,-20,34470,14,14,BB_MAVG_20_OR_CCI_20_AND_SO_14,LAYER_1,Fraksi_4
132,PTBA,399432.0,-94839.0,-23,3843,2,1,MFII_14_AND_BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_1,Fraksi_4
133,PTBA,436566.0,-99059.0,-22,42059,17,17,MFII_14_OR_BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_1,Fraksi_4
134,PTBA,431548.0,-113254.0,-26,20254,8,8,MFII_14_AND_BB_MAVG_20_AND_CCI_20_OR_SO_14,LAYER_1,Fraksi_4
135,PTBA,436566.0,-89470.0,-20,34470,14,14,MFII_14_OR_BB_MAVG_20_OR_CCI_20_AND_SO_14,LAYER_1,Fraksi_4
136,PTBA,431548.0,-139426.0,-32,12426,5,5,MFII_14_OR_BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_1,Fraksi_4
137,PTBA,431548.0,-112810.0,-26,28810,12,12,MFII_14_AND_BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_1,Fraksi_4
