,Ticker Code,Initial Capital,Total Capital Gain,Capital Gain Percentage,Transaction Fee,Number Purchased,Number Sold,Indicator,Stock Layer,Fraction
4,TLKM,0.0,0.0,0,0,0,0,MFII_14,LAYER_1,Fraksi_4
5,TLKM,379360.0,-7489.0,-1,57929,18,17,BB_MAVG_20,LAYER_1,Fraksi_4
6,TLKM,379360.0,34754.0,9,53675,17,16,CCI_20,LAYER_1,Fraksi_4
7,TLKM,379360.0,46076.0,12,34328,11,10,SO_14,LAYER_1,Fraksi_4
12,TLKM,0.0,0.0,0,0,0,0,MFII_14_AND_BB_MAVG_20,LAYER_1,Fraksi_4
13,TLKM,379360.0,-7489.0,-1,57929,18,17,MFII_14_OR_BB_MAVG_20,LAYER_1,Fraksi_4
14,TLKM,0.0,0.0,0,0,0,0,MFII_14_AND_CCI_20,LAYER_1,Fraksi_4
15,TLKM,379360.0,34754.0,9,53675,17,16,MFII_14_OR_CCI_20,LAYER_1,Fraksi_4
16,TLKM,0.0,0.0,0,0,0,0,MFII_14_AND_SO_14,LAYER_1,Fraksi_4
17,TLKM,379360.0,34754.0,9,53675,17,16,MFII_14_OR_CCI_20,LAYER_1,Fraksi_4
18,TLKM,379360.0,26608.0,7,40821,13,12,BB_MAVG_20_AND_CCI_20,LAYER_1,Fraksi_4
19,TLKM,379360.0,-9590.0,-2,74019,23,22,BB_MAVG_20_OR_CCI_20,LAYER_1,Fraksi_4
20,TLKM,379360.0,22714.0,5,27690,9,8,BB_MAVG_20_AND_SO_14,LAYER_1,Fraksi_4
21,TLKM,379360.0,-6638.0,-1,61078,19,18,BB_MAVG_20_OR_SO_14,LAYER_1,Fraksi_4
22,TLKM,379360.0,43546.0,11,30858,10,9,CCI_20_AND_SO_14,LAYER_1,Fraksi_4
23,TLKM,379360.0,39772.0,10,53657,17,16,CCI_20_OR_SO_14,LAYER_1,Fraksi_4
16,TLKM,0.0,0.0,0,0,0,0,MFII_14_AND_BB_MAVG_20_AND_CCI_20,LAYER_1,Fraksi_4
17,TLKM,379360.0,-9590.0,-2,74019,23,22,MFII_14_OR_BB_MAVG_20_OR_CCI_20,LAYER_1,Fraksi_4
18,TLKM,379360.0,34754.0,9,53675,17,16,MFII_14_AND_BB_MAVG_20_OR_CCI_20,LAYER_1,Fraksi_4
19,TLKM,379360.0,26608.0,7,40821,13,12,MFII_14_OR_BB_MAVG_20_AND_CCI_20,LAYER_1,Fraksi_4
20,TLKM,0.0,0.0,0,0,0,0,MFII_14_AND_BB_MAVG_20_AND_SO_14,LAYER_1,Fraksi_4
21,TLKM,379360.0,-6638.0,-1,61078,19,18,MFII_14_OR_BB_MAVG_20_OR_SO_14,LAYER_1,Fraksi_4
22,TLKM,379360.0,46076.0,12,34328,11,10,MFII_14_AND_BB_MAVG_20_OR_SO_14,LAYER_1,Fraksi_4
23,TLKM,379360.0,22714.0,5,27690,9,8,MFII_14_OR_BB_MAVG_20_AND_SO_14,LAYER_1,Fraksi_4
24,TLKM,0.0,0.0,0,0,0,0,MFII_14_AND_CCI_20_AND_SO_14,LAYER_1,Fraksi_4
25,TLKM,379360.0,39772.0,10,53657,17,16,MFII_14_OR_CCI_20_OR_SO_14,LAYER_1,Fraksi_4
26,TLKM,379360.0,46076.0,12,34328,11,10,MFII_14_AND_CCI_20_OR_SO_14,LAYER_1,Fraksi_4
27,TLKM,379360.0,43546.0,11,30858,10,9,MFII_14_OR_CCI_20_AND_SO_14,LAYER_1,Fraksi_4
28,TLKM,379360.0,20184.0,5,24220,8,7,BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_1,Fraksi_4
29,TLKM,379360.0,-9590.0,-2,74019,23,22,BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_1,Fraksi_4
30,TLKM,379360.0,38449.0,10,43980,14,13,BB_MAVG_20_AND_CCI_20_OR_SO_14,LAYER_1,Fraksi_4
31,TLKM,379360.0,-6638.0,-1,61078,19,18,BB_MAVG_20_OR_CCI_20_AND_SO_14,LAYER_1,Fraksi_4
6,TLKM,0.0,0.0,0,0,0,0,MFII_14_AND_BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_1,Fraksi_4
7,TLKM,379360.0,-9590.0,-2,74019,23,22,MFII_14_OR_BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_1,Fraksi_4
8,TLKM,379360.0,46076.0,12,34328,11,10,MFII_14_AND_BB_MAVG_20_AND_CCI_20_OR_SO_14,LAYER_1,Fraksi_4
9,TLKM,379360.0,-6638.0,-1,61078,19,18,MFII_14_OR_BB_MAVG_20_OR_CCI_20_AND_SO_14,LAYER_1,Fraksi_4
10,TLKM,379360.0,20184.0,5,24220,8,7,MFII_14_OR_BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_1,Fraksi_4
11,TLKM,379360.0,39772.0,10,53657,17,16,MFII_14_AND_BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_1,Fraksi_4
