,Ticker Code,Initial Capital,Total Capital Gain,Capital Gain Percentage,Transaction Fee,Number Purchased,Number Sold,Indicator,Stock Layer,Fraction
72,TOWR,78280.0,-13081.0,-16,581,1,1,MFII_14,LAYER_1,Fraksi_3
73,TOWR,80789.0,-6301.0,-7,8301,14,14,BB_MAVG_20,LAYER_1,Fraksi_3
74,TOWR,81291.0,-10019.0,-12,8519,14,14,CCI_20,LAYER_1,Fraksi_3
75,TOWR,77277.0,2921.0,3,3579,6,6,SO_14,LAYER_1,Fraksi_3
216,TOWR,78280.0,-13081.0,-16,581,1,1,MFII_14_AND_BB_MAVG_20,LAYER_1,Fraksi_3
217,TOWR,80789.0,-6301.0,-7,8301,14,14,MFII_14_OR_BB_MAVG_20,LAYER_1,Fraksi_3
218,TOWR,78280.0,-13081.0,-16,581,1,1,MFII_14_AND_CCI_20,LAYER_1,Fraksi_3
219,TOWR,81291.0,-10019.0,-12,8519,14,14,MFII_14_OR_CCI_20,LAYER_1,Fraksi_3
220,TOWR,61219.0,0.0,0,219,1,0,MFII_14_AND_SO_14,LAYER_1,Fraksi_3
221,TOWR,81291.0,-10019.0,-12,8519,14,14,MFII_14_OR_CCI_20,LAYER_1,Fraksi_3
222,TOWR,81291.0,-5718.0,-7,4218,7,7,BB_MAVG_20_AND_CCI_20,LAYER_1,Fraksi_3
223,TOWR,80789.0,-14926.0,-18,16926,28,28,BB_MAVG_20_OR_CCI_20,LAYER_1,Fraksi_3
224,TOWR,77277.0,-5337.0,-6,2337,4,4,BB_MAVG_20_AND_SO_14,LAYER_1,Fraksi_3
225,TOWR,80789.0,-3411.0,-4,8911,15,15,BB_MAVG_20_OR_SO_14,LAYER_1,Fraksi_3
226,TOWR,77277.0,-484.0,0,2984,5,5,CCI_20_AND_SO_14,LAYER_1,Fraksi_3
227,TOWR,81291.0,-8028.0,-9,8528,14,14,CCI_20_OR_SO_14,LAYER_1,Fraksi_3
288,TOWR,78280.0,-13081.0,-16,581,1,1,MFII_14_AND_BB_MAVG_20_AND_CCI_20,LAYER_1,Fraksi_3
289,TOWR,80789.0,-14926.0,-18,16926,28,28,MFII_14_OR_BB_MAVG_20_OR_CCI_20,LAYER_1,Fraksi_3
290,TOWR,81291.0,-10019.0,-12,8519,14,14,MFII_14_AND_BB_MAVG_20_OR_CCI_20,LAYER_1,Fraksi_3
291,TOWR,81291.0,-5718.0,-7,4218,7,7,MFII_14_OR_BB_MAVG_20_AND_CCI_20,LAYER_1,Fraksi_3
292,TOWR,61219.0,0.0,0,219,1,0,MFII_14_AND_BB_MAVG_20_AND_SO_14,LAYER_1,Fraksi_3
293,TOWR,80789.0,-3411.0,-4,8911,15,15,MFII_14_OR_BB_MAVG_20_OR_SO_14,LAYER_1,Fraksi_3
294,TOWR,77277.0,2921.0,3,3579,6,6,MFII_14_AND_BB_MAVG_20_OR_SO_14,LAYER_1,Fraksi_3
295,TOWR,77277.0,-5337.0,-6,2337,4,4,MFII_14_OR_BB_MAVG_20_AND_SO_14,LAYER_1,Fraksi_3
296,TOWR,0.0,0.0,0,0,0,0,MFII_14_AND_CCI_20_AND_SO_14,LAYER_1,Fraksi_3
297,TOWR,81291.0,-8028.0,-9,8528,14,14,MFII_14_OR_CCI_20_OR_SO_14,LAYER_1,Fraksi_3
298,TOWR,77277.0,2921.0,3,3579,6,6,MFII_14_AND_CCI_20_OR_SO_14,LAYER_1,Fraksi_3
299,TOWR,77277.0,-484.0,0,2984,5,5,MFII_14_OR_CCI_20_AND_SO_14,LAYER_1,Fraksi_3
300,TOWR,77277.0,-5337.0,-6,2337,4,4,BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_1,Fraksi_3
301,TOWR,80789.0,-12935.0,-16,16935,28,28,BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_1,Fraksi_3
302,TOWR,81291.0,-1833.0,-2,4833,8,8,BB_MAVG_20_AND_CCI_20_OR_SO_14,LAYER_1,Fraksi_3
303,TOWR,80789.0,-4808.0,-5,8308,14,14,BB_MAVG_20_OR_CCI_20_AND_SO_14,LAYER_1,Fraksi_3
108,TOWR,0.0,0.0,0,0,0,0,MFII_14_AND_BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_1,Fraksi_3
109,TOWR,80789.0,-12935.0,-16,16935,28,28,MFII_14_OR_BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_1,Fraksi_3
110,TOWR,77277.0,2921.0,3,3579,6,6,MFII_14_AND_BB_MAVG_20_AND_CCI_20_OR_SO_14,LAYER_1,Fraksi_3
111,TOWR,80789.0,-4808.0,-5,8308,14,14,MFII_14_OR_BB_MAVG_20_OR_CCI_20_AND_SO_14,LAYER_1,Fraksi_3
112,TOWR,77277.0,-5337.0,-6,2337,4,4,MFII_14_OR_BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_1,Fraksi_3
113,TOWR,81291.0,-8028.0,-9,8528,14,14,MFII_14_AND_BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_1,Fraksi_3
